k5;S5
0.0683977725;2.6087923438315334e-08
0.07343564538849194;2.983421590574933e-07
0.07884458537921443;2.40160555280794e-06
0.08465192360921794;1.4256511832215488e-05
0.09088700430441997;6.498706424331819e-05
0.09758133305469446;0.00023569459243615644
0.10476873601023878;0.0007019909602852442
0.11248553080362993;0.0017673580194612227
0.12077071006123266;0.003862378260074693
0.12966613843123406;0.00750185192024169
0.13921676412387862;0.013204757955042142
0.14947084603280722;0.021374906515232654
0.1604801975851349;0.0321456487624071
0.17230044855243037;0.04523430281415712
0.184991326145517;0.059887759527721254
0.19861695681345531;0.07497466175211542
0.21324619027168354;0.08920346301725648
0.22895294739661629;0.10138229745527323
0.24581659374459833;0.1106283529623339
0.26392234058258707;0.11647301078658742
0.28336167545695523;0.11885943525575987
0.30423282447605876;0.11806371046226144
0.32664124864246363;0.11458119310109362
0.3507001767427759;0.10901294975841332
0.3765311774877455;0.10197331742286025
0.4042647737936407;0.09345398825729195
0.4340411023088318;0.08398030101311117
0.4660106215181426;0.07505130922881942
0.5003348720029888;0.06673737644473
0.5371872926988664;0.05908156185338799
0.5767540972747027;0.05210085710189131
0.6192352150623742;0.04579015424170156
0.6648453012908724;0.040127213812238736
0.7138148217297804;0.03507759836434596
0.7663912172227209;0.03059903245100601
0.822840153995109;0.026644972216915738
0.8834468660539624;0.02316735855876015
0.9485175964628574;0.020118628265147376
1.0183811447747233;0.0173694879570737
1.0933905284415955;0.014961618991422721
1.173924766596351;0.012886340651653654
1.2603907952197977;0.011098780249875494
1.3532255233703756;0.009559706514464042
1.4528980408665109;0.008234953292145296
1.5599119885769346;0.0070948607598874495
1.6748081032959516;0.00611374837711204
1.7981669500628006;0.005269428009872413
1.9306118557313825;0.004542761318980389
2.072812058613577;0.003917262410429091
2.2254860901111453;0.0033787446522038547
2.3894054054234513;0.0029150092328896434
2.565398281676825;0.0025155722733085626
2.7543540031726295;0.0021714269398751505
2.957227354901922;0.0018748369209444977
3.1750434470322197;0.001619157720120174
3.4089028947443145;0.0013986824239251897
3.6599873795926197;0.0012085088661758746
3.929565620490338;0.00104442540388067
4.218999784490608;0.0009028128168910646
4.5297523697570155;0.0007805601314490076
4.863393595502795;0.0006749924376115314
5.221609336239801;0.0005838090177262317
5.606209640428639;0.0005050303258321721
6.019137876574305;0.00043695255598884253
6.462480552982202;0.0003781087121073282
6.938477860793289;0.0003272352445209316
7.449534993571876;0.00028324345125047945
7.998234300643429;0.00024519495676271757
8.58734833559271;0.00021228068003222643
9.219853865855685;0.00018380278883514762
9.898946914195118;0.00015915921021268932
10.628058908063698;0.00013783032955869262
11.410874018456783;0.0001193675642474969
12.251347775867238;0.00010338354339444216
13.153727057407842;8.95436643402431e-05
14.122571546095509;7.755882973482698e-05
15.162776770730014;6.717919749769194e-05
16.279598842786765;5.8188800165825715e-05
17.478681015318028;5.040091082035516e-05
18.7660821980637;4.3654050434278694e-05
20.148307572856957;3.7808546554095454e-05
21.632341464023412;3.274356610003221e-05
23.225682629866256;2.8354556068413683e-05
24.936382153563777;2.4551035322548867e-05
26.77308412494028;2.1254688701022643e-05
28.745069318673753;1.8397721554944693e-05
30.862302089644007;1.5921438719007604e-05
33.13548072238188;1.3775016970148563e-05
35.57609148903272;1.1914444355564198e-05
38.19646668898689;1.030160348377245e-05
41.009846963448744;8.903479057726301e-06
44.0304481998174;7.691472663781593e-06
47.27353336394331;6.640810179469621e-06
50.755489623226886;5.730029181824497e-06
54.49391115025818;4.9405354736451805e-06
58.507688025400924;4.256219337799612e-06
62.817101687541864;3.663123413908473e-06
67.44392741531405;3.1491551968962442e-06
72.41154435662641;2.7038381081612857e-06
77.74505366247523;2.3180959091128915e-06
