t	linear	cwm
-3e-08	0.0693378159049633	0.03605516846387198
-2.989489489489489e-08	0.07119474178508667	0.03715747603591863
-2.978978978978979e-08	0.07309584042157874	0.03829013655993826
-2.9684684684684683e-08	0.07504200065064127	0.039453875465440665
-2.9579579579579577e-08	0.07703412478357288	0.04064943210877445
-2.947447447447447e-08	0.07907312869728797	0.041877559941108485
-2.9369369369369368e-08	0.08115994192239014	0.043139026675584356
-2.9264264264264262e-08	0.08329550772869261	0.044434614453516805
-2.9159159159159156e-08	0.08548078320810558	0.0457651200095447
-2.905405405405405e-08	0.08771673935478146	0.04713135483563196
-2.8948948948948947e-08	0.0900043611424164	0.04853414534378394
-2.884384384384384e-08	0.09234464759862601	0.0499743330273974
-2.8738738738738735e-08	0.09473861187627926	0.05145277462109814
-2.863363363363363e-08	0.09718728132169213	0.05297034225897848
-2.8528528528528527e-08	0.09969169753958673	0.05452792363108704
-2.842342342342342e-08	0.10225291645470909	0.05612642213806964
-2.8318318318318315e-08	0.10487200837000211	0.05776675704382456
-2.821321321321321e-08	0.10755005802122779	0.059449863626057774
-2.8108108108108106e-08	0.11028816462794276	0.06117669332459763
-2.8003003003003e-08	0.11308744194071388	0.0629482138873415
-2.7897897897897894e-08	0.11594901828447372	0.06476540951371337
-2.779279279279279e-08	0.11887403659791103	0.06662928099548028
-2.7687687687687685e-08	0.12186365446878093	0.06854084585480372
-2.758258258258258e-08	0.12491904416504487	0.07050113847938244
-2.7477477477477473e-08	0.12804139266172063	0.07251121025455122
-2.737237237237237e-08	0.13123190166333631	0.07457212969218092
-2.7267267267267265e-08	0.13449178762189143	0.0766849825562559
-2.716216216216216e-08	0.13782228175021052	0.0788508719849621
-2.7057057057057056e-08	0.14122463003057864	0.08107091860915376
-2.695195195195195e-08	0.14470009321855776	0.0833462606670415
-2.6846846846846844e-08	0.14824994684188694	0.085678054114954
-2.6741741741741738e-08	0.15187548119432842	0.08806747273402159
-2.6636636636636632e-08	0.15557800132439514	0.09051570823262577
-2.653153153153153e-08	0.15935882701881476	0.09302397034446253
-2.6426426426426424e-08	0.16321929278065234	0.09559348692205631
-2.6321321321321318e-08	0.16716074780197138	0.0982255040255822
-2.6216216216216215e-08	0.17118455593093151	0.10092128600681388
-2.611111111111111e-08	0.1752920956332219	0.10368211558806578
-2.6006006006006003e-08	0.17948475994772378	0.10650929393594077
-2.5900900900900897e-08	0.18376395643629792	0.10940414072973867
-2.579579579579579e-08	0.18813110712760128	0.11236799422436512
-2.5690690690690688e-08	0.19258764845482404	0.11540221130755789
-2.5585585585585582e-08	0.19713503118724954	0.11850816755129118
-2.548048048048048e-08	0.2017747203555394	0.12168725725716995
-2.5375375375375374e-08	0.2065081951706488	0.12494089349567383
-2.5270270270270268e-08	0.21133694893625957	0.1282705081390554
-2.516516516516516e-08	0.21626248895466474	0.13167755188775515
-2.5060060060060056e-08	0.22128633642597245	0.13516349429015115
-2.4954954954954953e-08	0.22641002634057356	0.13872982375547502
-2.4849849849849847e-08	0.23163510736475446	0.1423780475597436
-2.474474474474474e-08	0.23696314171937824	0.14610969184452152
-2.4639639639639638e-08	0.2423957050515456	0.14992630160836368
-2.4534534534534532e-08	0.2479343862991458	0.15382944069076646
-2.4429429429429426e-08	0.2535807875482111	0.1578206917484559
-2.432432432432432e-08	0.25933652388300693	0.16190165622386546
-2.4219219219219214e-08	0.2652032232287546	0.16607395430562671
-2.4114114114114112e-08	0.27118252618692634	0.17033922488090614
-2.4009009009009006e-08	0.2772760858630325	0.17469912547944866
-2.3903903903903903e-08	0.283485567686823	0.17915533220913837
-2.3798798798798797e-08	0.2898126492248337	0.18370953968294365
-2.369369369369369e-08	0.296259019985213	0.18836346093706902
-2.3588588588588585e-08	0.30282638121475697	0.19311882734017058
-2.348348348348348e-08	0.3095164456880934	0.1979773884934734
-2.3378378378378376e-08	0.3163309374889484	0.20294091212164087
-2.327327327327327e-08	0.3232715917834491	0.2080111839542447
-2.3168168168168164e-08	0.3303401545853913	0.2131900075976895
-2.3063063063063062e-08	0.33753838251343476	0.21847920439743723
-2.2957957957957956e-08	0.34486804254016873	0.2238806132904038
-2.285285285285285e-08	0.35233091173301	0.22939609064736205
-2.2747747747747744e-08	0.35992877698686987	0.23502751010524348
-2.2642642642642638e-08	0.3676634347485881	0.24077676238916837
-2.2537537537537535e-08	0.3755366907330622	0.24664575512410505
-2.243243243243243e-08	0.38355035963105755	0.25263641263600295
-2.2327327327327326e-08	0.39170626480866716	0.25875067574228233
-2.222222222222222e-08	0.4000062379983987	0.2649905015315697
-2.2117117117117114e-08	0.40845211898185924	0.2713578631325309
-2.201201201201201e-08	0.4170457552640333	0.27785474947172045
-2.1906906906906903e-08	0.4257890017391272	0.2844831650203078
-2.1801801801801797e-08	0.4346837203479812	0.29124512952959064
-2.1696696696696694e-08	0.44373177972703554	0.29814267775518294
-2.1591591591591588e-08	0.4529350548488634	0.30517785916977996
-2.1486486486486485e-08	0.46229542665425405	0.3123527376644113
-2.138138138138138e-08	0.4718147816758674	0.3196693912380896
-2.1276276276276273e-08	0.48149501165347497	0.3271299116757632
-2.1171171171171167e-08	0.4913380131407894	0.33473640421450607
-2.106606606606606e-08	0.5013456871039141	0.3424909871978608
-2.096096096096096e-08	0.5115199385114362	0.3503957917182696
-2.0855855855855853e-08	0.5218626759161967	0.3584529612475296
-2.075075075075075e-08	0.532375811028756	0.36666465125520986
-2.0645645645645644e-08	0.5430612582826235	0.3750330288149857
-2.0540540540540538e-08	0.5539209343912618	0.3835602721988414
