0;Z_default;W_default;f_default;Z_cwm;W_cwm;f_cwm
;-1.1021402077106268;0.0028435782821849545;0.0;-1.1124179190526198;0.002737256563859217;0.0
;-1.0852899038287056;0.0028435782821849545;0.0;-1.0289562479092924;0.002737256563859217;0.0
;-1.0089560441815966;0.0028435782821849545;4.7915158166848e-05;-1.0173324082558326;0.005474513127718434;0.00022845600716773224
;-0.994439302093085;0.0028435782821849545;0.0002649764636547217;-0.996242208335264;0.002737256563859217;0.0002761821542507521
;-0.9816130117940053;0.0028435782821849545;0.0003062559561856936;-0.961099993575269;0.002737256563859217;0.0003627760864992714
;-0.9658137763713208;0.0028435782821849545;0.00034272851672115614;-0.9393024603349747;0.005474513127718434;0.000458969344519618
;-0.9393676186587709;0.005687156564369909;0.0003876548794442289;-0.9260788867418714;0.008211769691577652;0.0005484675059265207
;-0.9147185923917953;0.005687156564369909;0.0005004574590221964;-0.9137637210392661;0.005474513127718434;0.0006389582899650137
;-0.9002532077447231;0.0028435782821849545;0.0006406403305617531;-0.8951323561076661;0.008211769691577652;0.0007232327103511898
;-0.8816431533344269;0.014217891410924773;0.0007023405110005526;-0.8779628261087251;0.013686282819296085;0.0008507297752328862
;-0.8668197317757116;0.01706146969310973;0.0008610979506547482;-0.8604729089394869;0.013686282819296085;0.0010387194099848015
;-0.8558051744039361;0.005687156564369909;0.001092931528520941;-0.8482196158120863;0.008211769691577652;0.001278091362849058
;-0.8359842835775417;0.011374313128739818;0.0012182145530419848;-0.8354839103228185;0.010949026255436868;0.0014122529910165315
;-0.8214933315346379;0.0312793611040345;0.001387301317104467;-0.8223494055746039;0.002737256563859217;0.0015342661180770976
;-0.8053844807209893;0.01990504797529468;0.0016963474909848552;-0.8084821725366312;0.030109822202451387;0.0016241473914148242
;-0.7912206305742772;0.022748626257479636;0.0021086084959066912;-0.7928421192202747;0.008211769691577652;0.0018518964393493605
;-0.7742608281708927;0.05687156564369909;0.0024106786209265384;-0.7804910428184862;0.02737256563859217;0.002151572309544496
;-0.763808966048253;0.011374313128739818;0.0030858499819083098;-0.7700476586983553;0.01916079594701452;0.0023713247317293895
;-0.751754616686216;0.014217891410924773;0.0034424982395922675;-0.7552803221805313;0.010949026255436868;0.0026143076164491063
;-0.7413673939270925;0.05687156564369909;0.0035967469268251805;-0.744802451923524;0.06843141409648043;0.0028366285549268305
;-0.7305290070831207;0.01706146969310973;0.003965957939950943;-0.7315547403831371;0.008211769691577652;0.0032524975324025786
;-0.7191712907533695;0.08246377018336368;0.004366615358715626;-0.7212257398369537;0.04105884845788826;0.0037601709275831064
;-0.7079323216830237;0.022748626257479636;0.004931805079799342;-0.7070940662213547;0.07664318378805808;0.004014629048471418
;-0.6937124349289979;0.07108945705462387;0.005523044514507142;-0.6938208174569208;0.005474513127718434;0.004846292400267628
;-0.6836111005055484;0.014217891410924773;0.006190227973463615;-0.6837983515315172;0.062956900968762;0.005391276709830374
;-0.6722186827080314;0.11658670956958314;0.00662108700127774;-0.6711281686581758;0.05474513127718434;0.005734202467834952
;-0.6573874987925593;0.10805597472302828;0.007366177333381464;-0.6609282954732945;0.10675300599050946;0.006479855604394986
;-0.6469142685475194;0.01706146969310973;0.009032035816385993;-0.6492447049856374;0.060219644404902774;0.007303485864257505
;-0.6340905598440228;0.15355322723798753;0.009687227717906588;-0.6313795012721222;0.12043928880980555;0.00827890589918687
;-0.6233493384234203;0.008530734846554864;0.010781184304896461;-0.6116056370691749;0.09306672317121338;0.00989266022146042
;-0.6133373725123215;0.1620839620845424;0.011651674167635767;-0.6001495248423198;0.13686282819296086;0.012003579665173169
;-0.5983874604478306;0.10236881815865836;0.012505768432439071;-0.584840336799718;0.2573021170027664;0.013320629037522388
;-0.5816141842106769;0.24170415398572115;0.014482541337362053;-0.5708601196933113;0.13412557162910163;0.016337801670423986
;-0.5700718678474757;0.1620839620845424;0.017368156841120145;-0.558272439247918;0.07664318378805808;0.01907392370469023
;-0.5515225644772521;0.27298351508975566;0.01969848193081215;-0.5469937834505573;0.27098839982206246;0.020400468575222458
;-0.5377846048118299;0.08815092674773359;0.02373358124112408;-0.5368788332427407;0.15328636757611616;0.02236087706313745
;-0.5259303761755915;0.3440729721443795;0.026214206439003178;-0.5241603754626794;0.08211769691577651;0.024506636136470226
;-0.515089389149513;0.13649175754487783;0.02877604689875993;-0.512598371504507;0.23266680792803346;0.02600362446421771
