0;t_default;P_default;t_cwm;P_cwm
;1.9938772486804285e-08;0.10942614986086482;1.9938772486804285e-08;0.12091750038423675
;2.007258975179893e-08;0.11532882779991825;2.007258975179893e-08;0.12496920441730983
;2.0206407016793576e-08;0.11986232918634729;2.0206407016793576e-08;0.12722370994332743
;2.0340224281788222e-08;0.12303135984816724;2.0340224281788222e-08;0.1312990022200071
;2.0474041546782867e-08;0.12664776431752336;2.0474041546782867e-08;0.13354516398711258
;2.0607858811777513e-08;0.13341933037870435;2.0607858811777513e-08;0.13987778591773467
;2.074167607677216e-08;0.14107534309420316;2.074167607677216e-08;0.14347519096061817
;2.0875493341766804e-08;0.14828861597448778;2.0875493341766804e-08;0.14841063656084635
;2.100931060676145e-08;0.15595582369173672;2.100931060676145e-08;0.15155733560425383
;2.1143127871756096e-08;0.16002290515691509;2.1143127871756096e-08;0.15970272760042883
;2.127694513675074e-08;0.16591744901137218;2.127694513675074e-08;0.16375141853157574
;2.1410762401745387e-08;0.1713342044013144;2.1410762401745387e-08;0.17187942990354377
;2.1544579666740032e-08;0.17629278020116665;2.1544579666740032e-08;0.17725883761225353
;2.1678396931734678e-08;0.18572816533516595;2.1678396931734678e-08;0.18219790695048277
;2.1812214196729324e-08;0.19475482916003037;2.1812214196729324e-08;0.1885285861298081
;2.194603146172397e-08;0.20421360758533563;2.194603146172397e-08;0.1975458266527326
;2.2079848726718615e-08;0.21184565213843562;2.2079848726718615e-08;0.1993678668969873
;2.221366599171326e-08;0.2177166960277202;2.221366599171326e-08;0.20297326515139966
;2.2347483257141587e-08;0.2249336594109831;2.2347483257141587e-08;0.2083930320297145
;2.2481300522136233e-08;0.23486866446806895;2.2481300522136233e-08;0.20883016436245577
;2.261511778713088e-08;0.2438538639716136;2.261511778713088e-08;0.21153519471525686
;2.2748935052125524e-08;0.2524029913754837;2.2748935052125524e-08;0.21828863445247354
;2.288275231712017e-08;0.25691001857929985;2.288275231712017e-08;0.22415246459422442
;2.3016569582114815e-08;0.2636448138080695;2.3016569582114815e-08;0.23094264478992238
