t	linear	cwm
-9.189189189189187e-09	0.4108912302308256	0.36438716909312596
-9.084084084084081e-09	0.4159586711764786	0.36944097172008494
-8.978978978978975e-09	0.4210612958322057	0.3745367850684533
-8.87387387387387e-09	0.4261989115059252	0.37967446201552596
-8.768768768768767e-09	0.43137131807720497	0.3848538459746424
-8.66366366366366e-09	0.4365783079931554	0.39007477085814724
-8.558558558558555e-09	0.44181966626677727	0.39533706104365585
-8.453453453453449e-09	0.44709517047778247	0.4006405313436765
-8.348348348348346e-09	0.4524045907759033	0.40598498697862356
-8.24324324324324e-09	0.45774768988670905	0.4113702235532692
-8.138138138138134e-09	0.4631242231199415	0.41679602703666635
-8.033033033033031e-09	0.46853393838038493	0.422262173745588
-7.927927927927925e-09	0.47397657618128364	0.4277684303315127
-7.82282282282282e-09	0.47945186966031583	0.43331455377119144
-7.717717717717713e-09	0.48495954459813617	0.43890029136083186
-7.61261261261261e-09	0.4904993194394954	0.4445253807139254
-7.507507507507505e-09	0.4960709053169437	0.45018954976275033
-7.402402402402399e-09	0.5016740060771252	0.455892516763573
-7.297297297297293e-09	0.5073083183096676	0.4616339903055782
-7.19219219219219e-09	0.5129735313786727	0.4674136693235446
-7.087087087087084e-09	0.5186693274568095	0.47323124311429354
-6.981981981981978e-09	0.5243953815620082	0.47908639135692205
-6.876876876876872e-09	0.5301513615967615	0.4849787841368463
-6.7717717717717695e-09	0.5359369283900253	0.49090808197366065
-6.6666666666666635e-09	0.5417517357417219	0.496873935852835
-6.5615615615615575e-09	0.547595430469836	0.5028759872612516
-6.456456456456455e-09	0.5534676524601032	0.5089138682265979
-6.351351351351349e-09	0.5593680347182832	0.514987201360617
-6.246246246246243e-09	0.5652962034250062	0.5210955999062221
-6.141141141141137e-09	0.5712517779931904	0.5272386677884763
-6.036036036036034e-09	0.5772343711280118	0.5334159996694374
-5.930930930930928e-09	0.5832435888894223	0.5396271810068696
-5.825825825825822e-09	0.589279030757196	0.5458717881168079
-5.720720720720716e-09	0.5953402896984944	0.5521493882399807
-5.6156156156156136e-09	0.6014269522379319	0.5584595396120722
-5.5105105105105076e-09	0.607538598530125	0.5648017915378184
-5.4054054054054016e-09	0.6136748024347077	0.5711756844689219
-5.300300300300296e-09	0.6198351315937906	0.5775807500857689
-5.195195195195193e-09	0.626019147511846	0.5840165113829322
-5.090090090090087e-09	0.6322264056379957	0.5904824827584394
-4.984984984984981e-09	0.6384564554506739	0.5969781701067836
-4.879879879879875e-09	0.6447088405446464	0.6035030709156511
-4.774774774774772e-09	0.6509830987203554	0.6100566743663425
-4.669669669669666e-09	0.6572787620755642	0.6166384614378537
-4.56456456456456e-09	0.663595357099272	0.6232479050145886
-4.459459459459458e-09	0.6699324047678683	0.6298844699976677
-4.354354354354352e-09	0.6762894206435001	0.6365476134198007
-4.249249249249246e-09	0.6826659149746106	0.6432367845636788
-4.14414414414414e-09	0.6890613927986251	0.6499514250838528
-4.039039039039037e-09	0.6954753540467427	0.656690969132051
-3.933933933933931e-09	0.7019072936508004	0.663454843485894
-3.828828828828825e-09	0.7083567016521732	0.6702424676809584
-3.723723723723719e-09	0.7148230633126678	0.6770532541461423
-3.6186186186186164e-09	0.721305859227375	0.68388660834228
-3.5135135135135104e-09	0.727804565439439	0.6907419289039581
-3.4084084084084044e-09	0.7343186535566985	0.6976186077844683
-3.3033033033032984e-09	0.7408475908701614	0.7045160304038505
-3.1981981981981957e-09	0.7473908404742673	0.711433575799961
-3.0930930930930897e-09	0.7539478613888934	0.7183706167825096
-2.9879879879879837e-09	0.7605181086830551	0.7253265200899958
-2.882882882882881e-09	0.7671010336002603	0.7323006465494882
-2.777777777777775e-09	0.7736960836854656	0.7392923512391762
-2.672672672672669e-09	0.780302702913584	0.7463009836536244
-2.567567567567563e-09	0.7869203318195015	0.7533258878716637
-2.4624624624624604e-09	0.7935484076295437	0.7603664027268444
-2.3573573573573544e-09	0.8001863643943486	0.7674218619803825
-2.2522522522522485e-09	0.8068336331230878	0.7744915944965164
-2.1471471471471425e-09	0.8134896419189859	0.7815749244202056
-2.0420420420420398e-09	0.8201538161160858	0.7886711713570892
-1.936936936936934e-09	0.8268255784172037	0.7957796505556268
-1.8318318318318278e-09	0.8335043490330166	0.8028996730913374
-1.7267267267267218e-09	0.8401895458222315	0.8100305460530585
-1.6216216216216192e-09	0.8468805844327773	0.8171715727311382
-1.5165165165165132e-09	0.8535768784439627	0.8243220528074784
-1.4114114114114072e-09	0.8602778395095415	0.8314812825473403
-1.3063063063063045e-09	0.8669828775016281	0.8386485549928255
-1.2012012012011985e-09	0.873691400655409	0.8458231601579463
-1.0960960960960925e-09	0.8804028157145803	0.853004385225193
-9.909909909909865e-10	0.8871165280774658	0.8601915147435087
-8.858858858858839e-10	0.8938319419437429	0.8673838308275809
-7.807807807807779e-10	0.9005484604617269	0.8745806133583583
-6.756756756756719e-10	0.9072654858761429	0.8817811401846946
-5.705705705705659e-10	0.9139824196763341	0.8889846873260323
-4.654654654654632e-10	0.9206986627448394	0.8961905291760278
-3.6036036036035724e-10	0.9274136155062795	0.9033979387070237
-2.5525525525525125e-10	0.9341266780764919	0.9106061876752707
-1.5015015015014857e-10	0.9408372504118524	0.9178145468268049
-4.504504504504259e-11	0.9475447324587211	0.9250222861038848
6.00600600600634e-11	0.9542485243029489	0.9322286748518855
1.6516516516516939e-10	0.9609480263193878	0.9394329820265581
2.7027027027027537e-10	0.9676426393213372	0.9466344764015536
3.7537537537538136e-10	0.9743317647098678	0.953832426776115
4.804804804804807e-10	0.9810148046229598	0.9610261021828367
5.855855855855867e-10	0.9876911620843957	0.9682147720953963
6.906906906906927e-10	0.9943602411523407	0.975397706636158
7.957957957957987e-10	1.0010214470675565	0.9825741767835511
9.009009009009047e-10	1.007674186401182	0.9897434545791239
1.0060060060060107e-09	1.0143178672020203	0.9969048133341782
1.1111111111111166e-09	1.0209518991432747	1.004057527835883
1.2162162162162226e-09	1.0275756936686666	1.011200874552771
1.321321321321322e-09	1.0341886641378855	1.0183341318395263
1.426426426426428e-09	1.040790225971299	1.025456580140957
1.531531531531534e-09	1.0473797967938718	1.0325675021950662
1.63663663663664e-09	1.0539567965782335	1.0396661832351206
1.741741741741746e-09	1.060520647786834	1.0467519111906225
1.846846846846852e-09	1.067070775513132	1.0538239768870963
1.951951951951958e-09	1.0736066076217545	1.0608816742445861
2.0570570570570573e-09	1.080127574887578	1.0679243004747834
2.1621621621621633e-09	1.0866331111336662	1.074951156276686
2.2672672672672693e-09	1.0931226533680154	1.0819615460306986
2.3723723723723753e-09	1.0995956419190491	1.0889547779910864
2.4774774774774812e-09	1.1060515205698114	1.0959301644766963
2.5825825825825872e-09	1.1124897366907998	1.102887022059851
2.6876876876876932e-09	1.1189097413713895	1.1098246717533369
2.792792792792799e-09	1.1253109895497984	1.1167424391953953
2.8978978978978986e-09	1.1316929401415339	1.123639654832638
3.0030030030030046e-09	1.1380550561662826	1.1305156541008021
3.1081081081081105e-09	1.1443968048731823	1.137369777603261
3.2132132132132165e-09	1.1507176578644371	1.1442013712872168
3.3183183183183225e-09	1.1570170912172206	1.151009786617493
3.4234234234234285e-09	1.1632945856038268	1.1577943807478517
3.5285285285285345e-09	1.1695496264100202	1.1645545166897588
3.6336336336336405e-09	1.1757817038515384	1.171289563478528
3.73873873873874e-09	1.1819903130887077	1.1779988963367645
3.843843843843846e-09	1.1881749543391293	1.184681896835049
3.948948948948952e-09	1.194335132988388	1.1913379530497814
4.054054054054058e-09	1.200470359698751	1.1979664597181294
4.159159159159164e-09	1.2065801505158162	1.204566818390009
4.26426426426427e-09	1.2126640269730653	1.2111384375770387
4.369369369369376e-09	1.2187215161942937	1.2176807328984036
4.474474474474475e-09	1.224752150993876	1.2241931272235758
4.579579579579581e-09	1.2307554699748326	1.2306750508118265
4.684684684684687e-09	1.236731017624668	1.2371259414484814
4.789789789789793e-09	1.242678344408941	1.2435452445778616
4.894894894894899e-09	1.2485970068625478	1.2499324134328655
5.000000000000005e-09	1.2544865676786738	1.256286909161137
5.105105105105111e-09	1.260346595795399	1.2626082009477748
5.210210210210217e-09	1.2661766664799203	1.2688957661345404
5.315315315315316e-09	1.2719763614103692	1.2751490903355218
5.420420420420422e-09	1.2777452687552007	1.2813676675492116
5.525525525525528e-09	1.2834829832501287	1.2875510002669612
5.630630630630634e-09	1.289189106272584	1.2936985995777779
5.73573573573574e-09	1.2948632459136784	1.2998099852694291
5.840840840840846e-09	1.3005050170476549	1.305884685925824
5.945945945945952e-09	1.3061140413988006	1.3119222390206418
6.051051051051052e-09	1.3116899476058133	1.317922191007181
6.156156156156158e-09	1.3172323712836023	1.3238840974044073
6.261261261261264e-09	1.3227409550825064	1.3298075228791701
6.36636636636637e-09	1.3282153487449258	1.3356920413245803
6.471471471471476e-09	1.3336552091593448	1.3415372359345192
6.576576576576582e-09	1.339060200411747	1.3473426992742705
6.681681681681688e-09	1.344429993834402	1.3531080333472605
6.786786786786794e-09	1.3497642680520314	1.358832849657894
6.891891891891893e-09	1.35506270902533	1.3645167692704812
