# dt	sn
# time = 0.03333650095376498
0.026688	0.002155
0.026718	0.002154
0.026749	0.002154
0.026779	0.002158
0.026810	0.002155
0.026840	0.002151
0.026871	0.002159
0.026901	0.002158
0.026932	0.002161
0.026962	0.002188
0.026993	0.002154
0.027023	0.002153
0.027054	0.002158
0.027084	0.002157
0.027115	0.002159
0.027145	0.002156
0.027176	0.002150
0.027206	0.002153
0.027237	0.002156
0.027267	0.002153
0.027298	0.002147
0.027328	0.002152
0.027359	0.002148
0.027389	0.002149
0.027420	0.002155
0.027450	0.002151
0.027481	0.002150
0.027511	0.002155
0.027542	0.002149
0.027572	0.002141
0.027603	0.002154
0.027633	0.002151
0.027664	0.002157
0.027694	0.002149
0.027725	0.002156
0.027755	0.002155
0.027786	0.002153
0.027816	0.002153
0.027847	0.002155
0.027877	0.002150
0.027908	0.002149
0.027938	0.002156
0.027969	0.002153
0.027999	0.002153
0.028030	0.002152
0.028060	0.002155
0.028091	0.002155
0.028121	0.002152
0.028152	0.002151
0.028182	0.002147
0.028213	0.002152
0.028243	0.002142
0.028274	0.002149
0.028304	0.002145
0.028335	0.002156
0.028365	0.002154
0.028396	0.002153
0.028426	0.002153
0.028457	0.002155
0.028487	0.002157
0.028518	0.002151
0.028548	0.002146
0.028579	0.002150
0.028609	0.002156
0.028640	0.002141
0.028670	0.002142
0.028701	0.002149
0.028731	0.002151
0.028762	0.002150
0.028792	0.002147
0.028823	0.002152
0.028853	0.002154
0.028884	0.002153
0.028914	0.002148
0.028945	0.002153
0.028975	0.002148
0.029006	0.002155
0.029036	0.002148
0.029067	0.002144
0.029097	0.002140
0.029128	0.002144
0.029158	0.002142
0.029189	0.002147
0.029219	0.002147
0.029250	0.002143
0.029280	0.002152
0.029311	0.002143
0.029341	0.002141
0.029372	0.002146
0.029402	0.002153
0.029433	0.002151
0.029463	0.002142
0.029494	0.002152
0.029524	0.002152
0.029555	0.002149
0.029585	0.002147
0.029616	0.002144
0.029646	0.002138
0.029677	0.002151
0.029707	0.002151
0.029738	0.002145
0.029768	0.002148
0.029799	0.002147
0.029829	0.002144
0.029860	0.002146
0.029890	0.002146
0.029921	0.002141
0.029951	0.002135
0.029982	0.002144
0.030012	0.002151
0.030043	0.002148
0.030073	0.002146
0.030104	0.002140
0.030134	0.002146
0.030165	0.002144
0.030195	0.002153
0.030226	0.002147
0.030256	0.002147
0.030287	0.002148
0.030317	0.002140
0.030348	0.002145
0.030378	0.002141
0.030409	0.002142
0.030439	0.002136
0.030470	0.002138
0.030500	0.002139
0.030531	0.002138
0.030561	0.002139
0.030592	0.002135
0.030622	0.002138
0.030653	0.002136
0.030683	0.002136
0.030714	0.002138
0.030744	0.002140
0.030775	0.002137
0.030805	0.002141
0.030836	0.002135
0.030866	0.002143
0.030897	0.002141
0.030927	0.002148
0.030958	0.002143
0.030988	0.002145
0.031019	0.002142
0.031049	0.002146
0.031080	0.002145
0.031110	0.002142
0.031141	0.002143
0.031171	0.002139
0.031202	0.002142
0.031232	0.002133
0.031263	0.002138
0.031293	0.002145
0.031324	0.002141
0.031354	0.002140
0.031385	0.002147
0.031415	0.002141
0.031446	0.002137
0.031476	0.002139
0.031507	0.002140
0.031537	0.002138
0.031568	0.002138
0.031598	0.002141
0.031629	0.002143
0.031659	0.002146
0.031690	0.002137
0.031720	0.002136
0.031751	0.002136
0.031781	0.002141
0.031812	0.002138
0.031842	0.002140
0.031873	0.002147
0.031903	0.002139
0.031934	0.002140
0.031964	0.002144
0.031995	0.002146
0.032025	0.002141
0.032056	0.002133
0.032086	0.002136
0.032117	0.002141
0.032147	0.002141
0.032178	0.002134
0.032208	0.002144
0.032239	0.002142
0.032269	0.002145
0.032300	0.002136
0.032330	0.002147
0.032361	0.002138
0.032391	0.002140
0.032422	0.002144
0.032452	0.002128
0.032483	0.002139
0.032513	0.002141
0.032544	0.002129
0.032574	0.002140
0.032605	0.002136
0.032635	0.002142
0.032666	0.002134
0.032696	0.002138
0.032727	0.002139
0.032757	0.002144
0.032788	0.002144
0.032818	0.002149
0.032849	0.002144
0.032879	0.002143
0.032910	0.002138
0.032940	0.002136
0.032971	0.002143
0.033001	0.002148
0.033032	0.002146
0.033062	0.002141
0.033093	0.002143
0.033123	0.002132
0.033154	0.002133
0.033184	0.002143
0.033215	0.002134
0.033245	0.002135
0.033276	0.002134
0.033306	0.002132
0.033337	0.002136
0.033367	0.002136
0.033398	0.002142
0.033428	0.002141
0.033459	0.002144
0.033489	0.002140
0.033520	0.002131
0.033550	0.002133
0.033581	0.002141
0.033611	0.002138
0.033642	0.002137
0.033672	0.002134
0.033703	0.002142
0.033733	0.002130
0.033764	0.002139
0.033794	0.002135
0.033825	0.002134
0.033855	0.002139
0.033886	0.002142
0.033916	0.002138
0.033947	0.002142
0.033977	0.002130
0.034008	0.002137
0.034038	0.002143
0.034069	0.002140
0.034099	0.002135
0.034130	0.002135
0.034160	0.002141
0.034191	0.002131
0.034221	0.002134
0.034252	0.002136
0.034282	0.002130
0.034313	0.002137
0.034343	0.002131
0.034374	0.002134
0.034404	0.002128
0.034435	0.002140
0.034465	0.002137
0.034496	0.002140
0.034526	0.002133
0.034557	0.002129
0.034587	0.002140
0.034618	0.002128
0.034648	0.002130
0.034679	0.002135
0.034709	0.002140
0.034740	0.002134
0.034770	0.002134
0.034801	0.002168
0.034831	0.002158
0.034862	0.002135
0.034892	0.002134
0.034923	0.002151
0.034953	0.002138
0.034984	0.002159
0.035014	0.002170
0.035045	0.002171
0.035075	0.002246
0.035106	0.002390
0.035136	0.002305
0.035167	0.002460
0.035197	0.002360
0.035228	0.002497
0.035258	0.002596
0.035289	0.002630
0.035319	0.002547
0.035350	0.002859
0.035380	0.002649
0.035411	0.002697
0.035441	0.003063
0.035472	0.003021
0.035502	0.003590
0.035533	0.003465
0.035563	0.004777
0.035594	0.004906
0.035624	0.004603
0.035655	0.004664
0.035685	0.005016
0.035716	0.005378
0.035746	0.005492
0.035777	0.005813
0.035807	0.006876
0.035838	0.006563
0.035868	0.007864
0.035899	0.007154
0.035929	0.008590
0.035960	0.009179
0.035990	0.009090
0.036021	0.009135
0.036051	0.010143
0.036082	0.011736
0.036112	0.011759
0.036143	0.013177
0.036173	0.013589
0.036204	0.014046
0.036234	0.016928
0.036265	0.018751
0.036295	0.016307
0.036326	0.016833
0.036356	0.020184
0.036387	0.019705
0.036417	0.019445
0.036448	0.021353
0.036478	0.020685
0.036509	0.020843
0.036539	0.023105
0.036570	0.024905
0.036600	0.023624
0.036631	0.023337
0.036661	0.025445
0.036692	0.025104
0.036722	0.025345
0.036753	0.025408
0.036783	0.026514
0.036814	0.025910
0.036844	0.025999
0.036875	0.028852
0.036905	0.030699
0.036936	0.027488
0.036966	0.027662
0.036997	0.028214
0.037027	0.028452
0.037058	0.029585
0.037088	0.029282
0.037119	0.028695
0.037149	0.027371
0.037180	0.025950
0.037210	0.025776
0.037241	0.026125
0.037271	0.026468
0.037302	0.025420
0.037332	0.024164
0.037363	0.025299
0.037393	0.023284
0.037424	0.023005
0.037454	0.023315
0.037485	0.022641
0.037515	0.021724
0.037546	0.020318
0.037576	0.020047
0.037607	0.019862
0.037637	0.019038
0.037668	0.019955
0.037698	0.018690
0.037729	0.017859
0.037759	0.018269
0.037790	0.017858
0.037820	0.017048
0.037851	0.016144
0.037881	0.014092
0.037912	0.013522
0.037942	0.011793
0.037973	0.011321
0.038003	0.011396
0.038034	0.009715
0.038064	0.009734
0.038095	0.008481
0.038125	0.007580
0.038156	0.007305
0.038186	0.006972
0.038217	0.006829
0.038247	0.006052
0.038278	0.005495
0.038308	0.006241
0.038339	0.005065
0.038369	0.005017
0.038400	0.004964
0.038430	0.004628
0.038461	0.004608
0.038491	0.004115
0.038522	0.003828
0.038552	0.004267
0.038583	0.004066
0.038613	0.004247
0.038644	0.003546
0.038674	0.003129
0.038705	0.003486
0.038735	0.003339
0.038766	0.003258
0.038796	0.002979
0.038827	0.002978
0.038857	0.002937
0.038888	0.002666
0.038918	0.002468
0.038949	0.002463
0.038979	0.002587
0.039010	0.002477
0.039040	0.002591
0.039071	0.002371
0.039101	0.002335
0.039132	0.002374
0.039162	0.002160
0.039193	0.002318
0.039223	0.002378
0.039254	0.002177
0.039284	0.002189
0.039315	0.002150
0.039345	0.002183
0.039376	0.002159
0.039406	0.002242
0.039437	0.002231
0.039467	0.002139
0.039498	0.002229
0.039528	0.002138
0.039559	0.002107
0.039589	0.002188
0.039620	0.002133
0.039650	0.002140
0.039681	0.002107
0.039711	0.002109
0.039742	0.002119
0.039772	0.002109
0.039803	0.002126
0.039833	0.002164
0.039864	0.002131
0.039894	0.002114
0.039925	0.002120
0.039955	0.002123
0.039986	0.002116
