# dt	sn
# time = 0.03333650095376511
0.026688	0.002095
0.026718	0.002115
0.026749	0.002114
0.026779	0.002108
0.026810	0.002102
0.026840	0.002111
0.026871	0.002118
0.026901	0.002108
0.026932	0.002098
0.026962	0.002116
0.026993	0.002118
0.027023	0.002108
0.027054	0.002104
0.027084	0.002110
0.027115	0.002105
0.027145	0.002106
0.027176	0.002103
0.027206	0.002116
0.027237	0.002112
0.027267	0.002107
0.027298	0.002102
0.027328	0.002106
0.027359	0.002106
0.027389	0.002094
0.027420	0.002099
0.027450	0.002108
0.027481	0.002106
0.027511	0.002105
0.027542	0.002093
0.027572	0.002113
0.027603	0.002118
0.027633	0.002100
0.027664	0.002101
0.027694	0.002111
0.027725	0.002112
0.027755	0.002095
0.027786	0.002097
0.027816	0.002107
0.027847	0.002110
0.027877	0.002104
0.027908	0.002091
0.027938	0.002106
0.027969	0.002110
0.027999	0.002101
0.028030	0.002098
0.028060	0.002107
0.028091	0.002104
0.028121	0.002094
0.028152	0.002092
0.028182	0.002102
0.028213	0.002107
0.028243	0.002104
0.028274	0.002090
0.028304	0.002100
0.028335	0.002108
0.028365	0.002100
0.028396	0.002093
0.028426	0.002101
0.028457	0.002109
0.028487	0.002103
0.028518	0.002095
0.028548	0.002101
0.028579	0.002095
0.028609	0.002100
0.028640	0.002093
0.028670	0.002105
0.028701	0.002107
0.028731	0.002095
0.028762	0.002093
0.028792	0.002112
0.028823	0.002117
0.028853	0.002106
0.028884	0.002101
0.028914	0.002106
0.028945	0.002100
0.028975	0.002104
0.029006	0.002098
0.029036	0.002099
0.029067	0.002101
0.029097	0.002100
0.029128	0.002095
0.029158	0.002097
0.029189	0.002112
0.029219	0.002093
0.029250	0.002098
0.029280	0.002100
0.029311	0.002116
0.029341	0.002098
0.029372	0.002092
0.029402	0.002106
0.029433	0.002113
0.029463	0.002093
0.029494	0.002093
0.029524	0.002100
0.029555	0.002110
0.029585	0.002095
0.029616	0.002092
0.029646	0.002100
0.029677	0.002106
0.029707	0.002082
0.029738	0.002088
0.029768	0.002102
0.029799	0.002109
0.029829	0.002096
0.029860	0.002093
0.029890	0.002102
0.029921	0.002105
0.029951	0.002095
0.029982	0.002087
0.030012	0.002096
0.030043	0.002107
0.030073	0.002087
0.030104	0.002090
0.030134	0.002094
0.030165	0.002100
0.030195	0.002093
0.030226	0.002084
0.030256	0.002097
0.030287	0.002101
0.030317	0.002085
0.030348	0.002084
0.030378	0.002095
0.030409	0.002093
0.030439	0.002091
0.030470	0.002083
0.030500	0.002097
0.030531	0.002098
0.030561	0.002090
0.030592	0.002091
0.030622	0.002091
0.030653	0.002100
0.030683	0.002078
0.030714	0.002085
0.030744	0.002088
0.030775	0.002092
0.030805	0.002084
0.030836	0.002074
0.030866	0.002096
0.030897	0.002096
0.030927	0.002078
0.030958	0.002080
0.030988	0.002083
0.031019	0.002091
0.031049	0.002081
0.031080	0.002085
0.031110	0.002095
0.031141	0.002089
0.031171	0.002080
0.031202	0.002079
0.031232	0.002091
0.031263	0.002100
0.031293	0.002079
0.031324	0.002075
0.031354	0.002081
0.031385	0.002092
0.031415	0.002081
0.031446	0.002075
0.031476	0.002086
0.031507	0.002094
0.031537	0.002078
0.031568	0.002076
0.031598	0.002093
0.031629	0.002098
0.031659	0.002084
0.031690	0.002072
0.031720	0.002076
0.031751	0.002088
0.031781	0.002076
0.031812	0.002075
0.031842	0.002088
0.031873	0.002091
0.031903	0.002080
0.031934	0.002079
0.031964	0.002080
0.031995	0.002090
0.032025	0.002077
0.032056	0.002075
0.032086	0.002089
0.032117	0.002086
0.032147	0.002072
0.032178	0.002081
0.032208	0.002090
0.032239	0.002086
0.032269	0.002076
0.032300	0.002069
0.032330	0.002077
0.032361	0.002089
0.032391	0.002074
0.032422	0.002072
0.032452	0.002075
0.032483	0.002093
0.032513	0.002076
0.032544	0.002080
0.032574	0.002080
0.032605	0.002087
0.032635	0.002080
0.032666	0.002083
0.032696	0.002090
0.032727	0.002091
0.032757	0.002079
0.032788	0.002076
0.032818	0.002081
0.032849	0.002092
0.032879	0.002081
0.032910	0.002082
0.032940	0.002084
0.032971	0.002091
0.033001	0.002085
0.033032	0.002090
0.033062	0.002082
0.033093	0.002088
0.033123	0.002081
0.033154	0.002074
0.033184	0.002080
0.033215	0.002090
0.033245	0.002078
0.033276	0.002077
0.033306	0.002089
0.033337	0.002094
0.033367	0.002080
0.033398	0.002088
0.033428	0.002090
0.033459	0.002097
0.033489	0.002085
0.033520	0.002080
0.033550	0.002093
0.033581	0.002089
0.033611	0.002078
0.033642	0.002073
0.033672	0.002097
0.033703	0.002093
0.033733	0.002082
0.033764	0.002079
0.033794	0.002087
0.033825	0.002089
0.033855	0.002084
0.033886	0.002079
0.033916	0.002088
0.033947	0.002095
0.033977	0.002081
0.034008	0.002082
0.034038	0.002084
0.034069	0.002095
0.034099	0.002084
0.034130	0.002080
0.034160	0.002086
0.034191	0.002096
0.034221	0.002083
0.034252	0.002075
0.034282	0.002086
0.034313	0.002085
0.034343	0.002084
0.034374	0.002079
0.034404	0.002089
0.034435	0.002091
0.034465	0.002082
0.034496	0.002085
0.034526	0.002097
0.034557	0.002094
0.034587	0.002077
0.034618	0.002079
0.034648	0.002077
0.034679	0.002091
0.034709	0.002087
0.034740	0.002074
0.034770	0.002085
0.034801	0.002089
0.034831	0.002081
