# dt	sn
# time = 0.033336500953765086
0.036387	0.021824
0.036417	0.021130
0.036448	0.024533
0.036478	0.025499
0.036509	0.024943
0.036539	0.025877
0.036570	0.026394
0.036600	0.028452
0.036631	0.030885
0.036661	0.032696
0.036692	0.032500
0.036722	0.032822
0.036753	0.034060
0.036783	0.034247
0.036814	0.034106
0.036844	0.034999
0.036875	0.036208
0.036905	0.037805
0.036936	0.038424
0.036966	0.038224
0.036997	0.040357
0.037027	0.038700
0.037058	0.039003
0.037088	0.039601
0.037119	0.038984
0.037149	0.039722
0.037180	0.037142
0.037210	0.035591
0.037241	0.036650
0.037271	0.032936
0.037302	0.032900
0.037332	0.034215
0.037363	0.030520
0.037393	0.030052
0.037424	0.028718
0.037454	0.027392
0.037485	0.025385
0.037515	0.023602
0.037546	0.022823
0.037576	0.021708
0.037607	0.018886
0.037637	0.019480
0.037668	0.016714
0.037698	0.016266
0.037729	0.014593
0.037759	0.014034
0.037790	0.013569
0.037820	0.013099
0.037851	0.011585
0.037881	0.010153
0.037912	0.009139
0.037942	0.007852
0.037973	0.008111
0.038003	0.006361
0.038034	0.006330
0.038064	0.006853
0.038095	0.005466
0.038125	0.004853
0.038156	0.004597
0.038186	0.004372
0.038217	0.004550
0.038247	0.004123
0.038278	0.003809
0.038308	0.003541
0.038339	0.003934
0.038369	0.003164
0.038400	0.002883
0.038430	0.002919
0.038461	0.002571
0.038491	0.002570
0.038522	0.002685
0.038552	0.002544
0.038583	0.002400
0.038613	0.002381
0.038644	0.002286
0.038674	0.002308
0.038705	0.002301
0.038735	0.002129
0.038766	0.002233
0.038796	0.002121
0.038827	0.002130
0.038857	0.002121
0.038888	0.002115
0.038918	0.002102
0.038949	0.002127
0.038979	0.002108
0.039010	0.002110
0.039040	0.002134
0.039071	0.002116
0.039101	0.002103
0.039132	0.002094
0.039162	0.002112
0.039193	0.002111
0.039223	0.002103
0.039254	0.002094
0.039284	0.002112
0.039315	0.002108
0.039345	0.002101
0.039376	0.002102
0.039406	0.002108
0.039437	0.002104
0.039467	0.002098
0.039498	0.002098
0.039528	0.002104
0.039559	0.002112
0.039589	0.002110
0.039620	0.002101
0.039650	0.002106
0.039681	0.002114
0.039711	0.002106
0.039742	0.002098
0.039772	0.002108
0.039803	0.002112
0.039833	0.002113
0.039864	0.002112
0.039894	0.002110
0.039925	0.002115
0.039955	0.002102
0.039986	0.002108
