,direction,sigma0+,sigma0-,sigma0_theory
0,0,10.74750102771989,10.930275845998656,10.937730063947125
1,5,10.983120084379562,10.87529949107093,10.923861745486798
2,10,10.7410091877681,10.85173065718089,10.88283696657055
3,15,10.870970114893584,10.834248079381961,10.81602324430264
4,20,10.584504264260385,10.761597460139516,10.725117804134499
5,25,10.650732989997332,10.605053272850382,10.61302145035489
6,30,10.266495331593305,10.611212462865375,10.483140747978156
7,35,10.416407572115249,10.378530554960346,10.339660068418139
8,40,10.02508775138443,10.136859520610281,10.186458083930681
9,45,10.180267496310996,9.958376746321463,10.028730400947946
10,50,9.782632288230165,9.834072084946,9.870897587910784
11,55,9.68397239625945,9.54129772399963,9.717688902506687
12,60,9.707043462433285,9.448107770884217,9.574253364108165
13,65,9.670010296482147,9.238839763241966,9.444365267860086
14,70,9.227495482428958,9.434302117715536,9.332320288199531
15,75,9.075798059156995,9.246018070473808,9.241348313380714
16,80,9.376143330001309,8.975283421109914,9.174594912337051
17,85,9.342595334364706,9.318193404677315,9.133546398020837
18,90,9.092971658131118,9.212832546895536,9.119656255165491
19,95,9.53778001258452,9.04979089065486,9.133546398020837
20,100,9.203279538324928,9.248830380686025,9.174594912337051
21,105,9.07576868132562,8.988731061336274,9.241348313380714
22,110,9.42957804356921,9.216941048236986,9.332320288199531
23,115,9.471224548196586,9.191230746191032,9.444365267860086
24,120,9.668409719862142,9.451564399816803,9.574253364108165
25,125,9.68331687687077,9.705835636074758,9.717688902506687
26,130,10.025734396228804,9.954329194888096,9.870897587910784
27,135,10.074696151370816,10.045479477084381,10.028730400947946
28,140,10.302946210676875,10.34311861758177,10.186458083930681
29,145,10.298938230827538,10.413505742556149,10.339660068418139
30,150,10.485072085473686,10.683702719004955,10.483140747978156
31,155,10.634175166742706,10.557723609980536,10.61302145035489
32,160,10.667672129543648,10.969581143343108,10.725117804134499
33,165,11.031175979460306,10.851404449954387,10.816154414522954
34,170,10.903790074307732,10.843684459541238,10.88283696657055
35,175,10.83589461377034,11.042849242030165,10.923861745486798
