,direction,sigma0+,sigma0-,sigma0_theory
0,0,12.98731476607907,12.904469774004783,12.983983134688897
1,5,12.916950459231982,12.888450217107925,12.979898263710938
2,10,13.03039065486187,12.986807439239485,12.967831557981754
3,15,12.896131853197586,12.926641992745322,12.948343804938219
4,20,12.893471671084693,12.878792785842437,12.921599785648345
5,25,12.93642391115161,12.901195002173916,12.888554044943938
6,30,12.807560965429222,12.83698071034612,12.85038019957251
7,35,12.778507612621738,12.746897703040254,12.808231343311649
8,40,12.745481772609308,12.761091027804937,12.763203873078341
9,45,12.737265995870231,12.750684655382967,12.716928363125321
10,50,12.701999949055718,12.531525902621636,12.670463498678167
11,55,12.70318163397976,12.580734455613001,12.62543964561732
12,60,12.702184386365518,12.54276149830309,12.583266421609686
13,65,12.491040318906109,12.67243529879795,12.545096567608711
14,70,12.550917194840371,12.462645652692313,12.51226919857988
15,75,12.59620700667353,12.507968360554623,12.485561091340696
16,80,12.523979911382813,12.385599966708723,12.465794675438165
17,85,12.600232995375325,12.60467898085545,12.453740782934567
18,90,12.395746196363579,12.419565276948116,12.449667693307005
19,95,12.472596556177217,12.517159922457395,12.453740782934567
20,100,12.337523872155076,12.524807641923577,12.465794675438165
21,105,12.524089885189277,12.421937235702888,12.485561091340696
22,110,12.444292002275008,12.378105544637174,12.51226919857988
23,115,12.657789289403752,12.594147843625139,12.545096567608711
24,120,12.59556509819368,12.534582665531897,12.583266421609686
25,125,12.479607600368434,12.651506998081967,12.62543964561732
26,130,12.78932539066396,12.618949574187887,12.670463498678167
27,135,12.787031318250271,12.748160451688333,12.716928363125321
28,140,12.693015381049594,12.73969195990105,12.763203873078341
29,145,12.760914793744663,12.773596219104,12.808231343311649
30,150,12.804289209129694,12.767870172869083,12.85038019957251
31,155,12.891957672821428,12.889870594428796,12.888554044943938
32,160,12.98043998482582,12.909473577358357,12.921599785648345
33,165,13.037872631261067,12.85074392850342,12.94819113245772
34,170,12.914274943089058,12.91649872911728,12.967831557981754
35,175,12.973289056993085,12.994708201910585,12.979898263710938
