,x,sigma0+,sigma0-,sigma0_theory
0,54797.228976146784,9.279895487385785,9.255276783710006,9.229906153773324
1,69491.10653944954,9.180653007123388,9.164841825688635,9.219154804605669
2,84184.98408807338,9.110023713193607,9.11543964286819,9.21102817641602
3,98878.86163669724,9.240560750779586,9.161360478700054,9.203562696551067
4,113572.73918532107,9.187115542313377,9.32228475225268,9.196248490280555
5,128266.61673394496,9.081179273405047,9.231853423223601,9.188455623994289
6,142960.49428256878,9.151221852563724,9.250593886650119,9.180472292315798
7,157654.37184587153,9.135139996072668,9.060866873748262,9.17245884264608
8,172348.2493944954,9.270953190866281,9.152600550504955,9.163876807238935
9,187042.12694311928,9.123696246282513,9.1934988216878,9.15505922219586
10,201736.00449174314,9.066877523412728,9.109425622726171,9.146317502648758
11,216429.88204036694,9.319920436027742,9.103155795947464,9.137154756639191
12,231123.7595889908,9.343124211914471,9.11926052260839,9.128009408365719
13,245817.63715229355,9.260084116387054,9.221789959892028,9.119021240960304
14,260511.5147009174,8.889037583226344,9.195463553839408,9.109840652093034
15,275205.39224954124,9.163839823181858,8.948187212380347,9.100564901530342
16,289899.2697981651,9.137968763272712,9.182521157069054,9.091498053186353
17,296073.3944954128,9.082088356459192,8.924154811318427,9.087851005605522
18,296073.3944954128,8.77265224931245,9.081859887792026,9.087851005605522
19,306073.3944954128,8.866476074920833,9.188309365719691,9.087851005605522
20,316073.3944954128,9.171028758682318,9.093890264207058,9.087851005605522
21,326073.3944954128,9.249779354664431,9.042460096536596,9.087851005605522
22,336073.3944954128,8.956094276428495,9.137108162862809,9.087851005605522
23,346073.3944954128,9.049174737278593,9.206646686452139,9.087851005605522
24,356073.3944954128,8.90862037165626,9.16535388658423,9.087851005605522
25,366073.3944954128,9.19643353762826,9.140177608053357,9.087851005605522
26,376073.3944954128,9.068124931835488,8.898931742257922,9.087851005605522
27,386073.3944954128,9.137135896418224,9.12158879509227,9.087851005605522
28,396073.3944954128,9.03976669013738,9.01602506853507,9.087851005605522
29,406073.3944954128,9.048331733647034,9.143483864906615,9.087851005605522
30,416073.3944954128,9.143722483962438,9.125007582675288,9.087851005605522
31,426073.3944954128,9.150437029475642,9.254700063666373,9.087851005605522
32,436073.3944954128,9.19344390270346,9.010730610866428,9.087851005605522
33,446073.3944954128,9.019015039003937,9.098563027422186,9.087851005605522
34,456073.3944954128,8.943483819062726,8.979980467354993,9.087851005605522
35,466073.3944954128,8.985214660914298,9.278146230206257,9.087851005605522
36,476073.3944954128,8.82847702449965,9.193658562776234,9.087851005605522
37,486073.3944954128,8.985759589176386,9.194645986914688,9.087851005605522
