,x,sigma0+,sigma0-,sigma0_theory
0,54797.228976146784,12.41590175323787,12.393922825880317,12.393064554300828
1,69491.10653944954,12.452033187546444,12.446721475384903,12.465860777108249
2,84184.98408807338,12.565136630533043,12.584948586541696,12.539938215016207
3,98878.86163669724,12.688889094975975,12.729908261372033,12.610641498762465
4,113572.73918532107,12.727844179749901,12.629067587799197,12.67706477694789
5,128266.61673394496,12.692421748351851,12.749487534192927,12.739231116493823
6,142960.49428256878,12.81219689887495,12.773437727439585,12.797662497695486
7,157654.37184587153,12.765403496308203,12.83717961360268,12.852650267513289
8,172348.2493944954,12.958869926005391,12.955591949141034,12.904306570993915
9,187042.12694311928,12.932092512616087,12.912119879466506,12.953068571734605
10,201736.00449174314,12.986022532844999,12.90725578993597,12.99940227799924
11,216429.88204036694,12.990856380788339,13.06570759751101,13.043014999250957
12,231123.7595889908,13.133356573749941,13.145549575240338,13.08459768129119
13,245817.63715229355,13.103110985161992,13.07400843873059,13.124091532561291
14,260511.5147009174,13.207820176015248,13.164542521206714,13.161712897126012
15,275205.39224954124,13.203598418667257,13.290688372611399,13.197412130882636
16,289899.2697981651,13.281939130927991,13.207322507634327,13.231347261449379
17,296073.3944954128,13.256509918847875,13.180514655144012,13.244977867727265
18,296073.3944954128,13.270571047731398,13.28640068492829,13.244977867727265
19,306073.3944954128,13.201709588493129,13.209810227469571,13.244977867727265
20,316073.3944954128,13.219815500261895,13.267516262026476,13.244977867727265
21,326073.3944954128,13.219906057636042,13.296295876743931,13.244977867727265
22,336073.3944954128,13.295822092535609,13.232193850677126,13.244977867727265
23,346073.3944954128,13.27664463099345,13.25687298490745,13.244977867727265
24,356073.3944954128,13.199623787052833,13.24265761684288,13.244977867727265
25,366073.3944954128,13.219419018246402,13.252675306828083,13.244977867727265
26,376073.3944954128,13.16658300229875,13.255879097511329,13.244977867727265
27,386073.3944954128,13.225544142084264,13.183122198839524,13.244977867727265
28,396073.3944954128,13.296424283698986,13.227361723653488,13.244977867727265
29,406073.3944954128,13.26799974917597,13.270973935399093,13.244977867727265
30,416073.3944954128,13.187433494132856,13.215748654115307,13.244977867727265
31,426073.3944954128,13.179401687397528,13.265022170873115,13.244977867727265
32,436073.3944954128,13.247998833904147,13.199541933836613,13.244977867727265
33,446073.3944954128,13.235684618790643,13.179294837713172,13.244977867727265
34,456073.3944954128,13.244362279890879,13.231692928532024,13.244977867727265
35,466073.3944954128,13.261415575990178,13.298121499018386,13.244977867727265
36,476073.3944954128,13.197790552672995,13.33287399710423,13.244977867727265
37,486073.3944954128,13.24125473893865,13.290867639845631,13.244977867727265
