,direction,sigma0+,sigma0-,sigma0_theory
0,0,9.833732929035765,9.720460094035486,9.758685432708923
1,5,9.902934993808438,9.52842698902995,9.739185023195102
2,10,9.875248196198957,9.581885174119973,9.681489790922077
3,15,9.672150717982104,9.660005336867286,9.587431667501408
4,20,9.624501417909224,9.439828453191927,9.459590069076238
5,25,9.192554672383416,9.37771120225073,9.301986213827798
6,30,8.747197635768726,9.281721434843126,9.119312120387782
7,35,8.956749139328606,8.839440560250086,8.917497192448957
8,40,8.543720744222176,8.656173250657865,8.702021790023187
9,45,8.472485912672296,8.484680408744687,8.480133821236857
10,50,8.164434555602721,8.37810814064355,8.258189208342813
11,55,7.8541161124647925,8.049575295485994,8.042701165129275
12,60,7.766160521766272,7.973326923567566,7.84097139292769
13,65,7.402090042341715,6.978093764193258,7.658283351411531
14,70,7.4365441462889725,7.056420694354849,7.500634733879741
15,75,7.5450428279334325,7.38458638949978,7.3726676247475265
16,80,7.646295035811908,7.363045942718296,7.27886496738384
17,85,7.259105449989425,6.993298588562845,7.221124959562436
18,90,7.47398169899292,7.389600982634987,7.201583379649187
19,95,7.421661537373732,7.004941085393536,7.221124959562436
20,100,7.295692129072334,7.211998517304571,7.27886496738384
21,105,7.543507897331677,7.27764425129719,7.3726676247475265
22,110,7.823518837592363,7.202459893425164,7.500634733879741
23,115,7.355459425399474,7.45495462806752,7.658283351411531
24,120,7.68128539957347,7.814085963887858,7.84097139292769
25,125,8.323702586141037,7.647727063958842,8.042701165129275
26,130,8.012855880741451,8.284746099050079,8.258189208342813
27,135,8.141331598812162,8.492630344766996,8.480133821236857
28,140,8.724358168541908,8.039203326621731,8.702021790023187
29,145,8.935318908585625,8.98933297489489,8.917497192448957
30,150,9.344799201791472,9.121863870915883,9.119312120387782
31,155,9.701767893961833,9.14476617071296,9.301986213827798
32,160,9.536997011137112,9.274151595475807,9.459590069076238
33,165,9.610287851399097,9.679684007065237,9.58772623901137
34,170,9.566769012436978,9.78079615403348,9.681489790922077
35,175,9.481008102671703,9.597359936683054,9.739185023195102
