,direction,sigma0+,sigma0-,sigma0_theory
0,0,7.413597238148645,7.431700624344427,7.57709464550892
1,5,7.447498478007781,7.72275436858213,7.547182683337446
2,10,7.8093016048643795,7.3862092672644275,7.458670246352614
3,15,7.5686355607322495,7.069025644906274,7.314247788525061
4,20,7.092892084134126,6.903577665792289,7.118125554539879
5,25,6.895254277559847,7.423026658718072,6.876395973453414
6,30,6.625851380532152,6.335457336038617,6.596127369233877
7,35,6.023424516657586,6.51311318849204,6.286475033665816
8,40,5.975136668681447,6.06845920346478,5.955880226408244
9,45,5.940139559276421,5.876515730780808,5.615384765692278
10,50,4.609848769464867,4.555042208671482,5.274922292584883
11,55,5.209781976838757,4.879050783547639,4.944303864020848
12,60,4.57276618647532,4.469352003178287,4.63481065562595
13,65,4.512928478647213,4.220448926777237,4.354515987146822
14,70,4.415872436225007,4.982423146529497,4.1125639248434185
15,75,3.995552532900154,3.257112183080626,3.9162071562894263
16,80,4.14050973068809,4.653679724859408,3.7724009116521326
17,85,3.0412202463206284,3.701773029254273,3.6838048040422944
18,90,4.011097232901199,3.8956915327975974,3.653815908210162
19,95,3.7738855322082316,4.38856911416965,3.6838048040422944
20,100,3.0449768249943605,3.5673243816161504,3.7724009116521326
21,105,4.177932455437124,4.492064905215396,3.9162071562894263
22,110,4.668807766760247,3.8893121268015864,4.1125639248434185
23,115,4.362835375589405,3.8399200434531897,4.354515987146822
24,120,5.5967375083493405,5.699288919688746,4.63481065562595
25,125,5.033419794434555,4.729471295119202,4.944303864020848
26,130,4.455994276200427,4.6735989614055935,5.274922292584883
27,135,5.753696067205302,6.016573239867786,5.615384765692278
28,140,6.120732214545237,6.304402030986775,5.955880226408244
29,145,6.389533660687019,5.693974899938622,6.286475033665816
30,150,6.594493467634988,6.7542462948080395,6.596127369233877
31,155,6.544368907425209,7.161546508168173,6.876395973453414
32,160,6.788711317161026,7.3243169956890375,7.118125554539879
33,165,7.522135345469472,7.2621024185989125,7.314844425664887
34,170,7.060116253125583,7.465518752868967,7.458670246352614
35,175,7.549536078973286,7.3432398155570215,7.547182683337446
