,direction,sigma0+,sigma0-,sigma0_theory
0,0,13.668935627295731,13.46854540331381,13.623069452268465
1,5,13.611167768401224,13.576482552011608,13.622042505793491
2,10,13.566773989158216,13.564298692782838,13.619026965486059
3,15,13.651498718865993,13.650617382304118,13.614331466520602
4,20,13.645495301050213,13.563290754115503,13.607641807557556
5,25,13.546373092099564,13.569141480529549,13.599304208552102
6,30,13.59142053391231,13.543759700310483,13.589794353623068
7,35,13.586213103792632,13.58914687425239,13.579317877262751
8,40,13.58046786554631,13.541200823719082,13.568101545519472
9,45,13.61695102420859,13.55847674833477,13.556661642486471
10,50,13.555225013801586,13.630010302451602,13.54500605968102
11,55,13.344982985124654,13.606833840798235,13.53379657014284
12,60,13.503064894713063,13.521103722745098,13.523274000259216
13,65,13.489107597315755,13.388920533703828,13.513771695283632
14,70,13.470027218109648,13.574879411112752,13.505704664883407
15,75,13.455338111119183,13.564889734522101,13.499082938818393
16,80,13.656680491230752,13.453402249843611,13.494002823776924
17,85,13.467004287384315,13.466291122678506,13.49101152037143
18,90,13.569911925903353,13.491840186716775,13.490006859093535
19,95,13.379375948842227,13.49074695965472,13.49101152037143
20,100,13.439916447703137,13.527455339204879,13.494002823776924
21,105,13.436842882656194,13.52129234377501,13.499082938818393
22,110,13.554106653765476,13.58284064652862,13.505704664883407
23,115,13.472736233826057,13.591645053689074,13.513771695283632
24,120,13.508602591150922,13.50402126156894,13.523274000259216
25,125,13.531502671345738,13.598837357084223,13.53379657014284
26,130,13.563783294854046,13.564896627864819,13.54500605968102
27,135,13.465560764412707,13.55009418727036,13.556661642486471
28,140,13.529244063341665,13.536644519733375,13.568101545519472
29,145,13.55069767422452,13.54856062578941,13.579317877262751
30,150,13.588726099418231,13.614850631627666,13.589794353623068
31,155,13.63569658141314,13.559675175812417,13.599304208552102
32,160,13.661025641498114,13.661847320480147,13.607641807557556
33,165,13.57342261955054,13.560526692807857,13.614090075870832
34,170,13.69969251275111,13.606886370280996,13.619026965486059
35,175,13.524959974100542,13.579247372238562,13.622042505793491
