,x,sigma0+,sigma0-,sigma0_theory
0,54797.228976146784,12.83243922407783,12.698417477782936,12.770217454554968
1,69491.10653944954,12.78972112863787,12.753928736024985,12.852992658486958
2,84184.98408807338,12.894125720975158,12.89794013043508,12.936888608226658
3,98878.86163669724,13.05529009353018,12.956135142577342,13.016928424419845
4,113572.73918532107,13.051240529112835,13.039853521412963,13.092158959933807
5,128266.61673394496,13.166340775951294,13.2484767383716,13.162681276535512
6,142960.49428256878,13.236727104569596,13.204828984354027,13.229045278046268
7,157654.37184587153,13.22089971212115,13.275393132867713,13.291557958106562
8,172348.2493944954,13.308006276820773,13.328612600247924,13.350409171415517
9,187042.12694311928,13.410720872995078,13.375704329412981,13.406048518632156
10,201736.00449174314,13.525311878361425,13.537728888226377,13.458960472733445
11,216429.88204036694,13.541291549244754,13.505229564295838,13.508876733144842
12,231123.7595889908,13.595551032052711,13.458867674779796,13.556518407026728
13,245817.63715229355,13.58497073033709,13.550907243041145,13.60180298491888
14,260511.5147009174,13.612860765919972,13.668350244551572,13.645014407923961
15,275205.39224954124,13.696516243135154,13.673028533449072,13.686085485637154
16,289899.2697981651,13.723986898234319,13.78413721305903,13.72515680299814
17,296073.3944954128,13.733412478372127,13.727247343500961,13.740851064480562
18,296073.3944954128,13.798927680061956,13.673663901653207,13.740851064480562
19,306073.3944954128,13.788082464604305,13.77517756503622,13.740851064480562
20,316073.3944954128,13.714484239216912,13.690811512675843,13.740851064480562
21,326073.3944954128,13.783722696614351,13.687355116556708,13.740851064480562
22,336073.3944954128,13.772919309186715,13.730493358481953,13.740851064480562
23,346073.3944954128,13.804350001863057,13.756539807398829,13.740851064480562
24,356073.3944954128,13.725424065250056,13.75989096208973,13.740851064480562
25,366073.3944954128,13.753906682611712,13.718574312412803,13.740851064480562
26,376073.3944954128,13.727756327861645,13.768021912660906,13.740851064480562
27,386073.3944954128,13.712303863745621,13.77378048066789,13.740851064480562
28,396073.3944954128,13.784173025603792,13.726332583045567,13.740851064480562
29,406073.3944954128,13.743029458828296,13.723908889994927,13.740851064480562
30,416073.3944954128,13.715465960964398,13.768368560917981,13.740851064480562
31,426073.3944954128,13.770093062330346,13.696631292000813,13.740851064480562
32,436073.3944954128,13.755351757157769,13.76136375204367,13.740851064480562
33,446073.3944954128,13.728197796809148,13.768618266144054,13.740851064480562
34,456073.3944954128,13.742767478976434,13.742484262607196,13.740851064480562
35,466073.3944954128,13.739331919862174,13.753923085188227,13.740851064480562
36,476073.3944954128,13.755147589340908,13.709949993641612,13.740851064480562
37,486073.3944954128,13.738196214377883,13.73005273238972,13.740851064480562
