,direction,sigma0+,sigma0-,sigma0_theory
0,0,13.216504069303008,13.192163369246186,13.244977867727265
1,5,13.295514000451043,13.218706013106267,13.242141676942822
2,10,13.100135657383486,13.205433990794049,13.23377094571508
3,15,13.197716301433566,13.30085688918469,13.220323497023962
4,20,13.117779971784575,13.146783935915899,13.201768523117416
5,25,13.2112591070476,13.252265552249202,13.178812163994515
6,30,13.10792319402311,13.182765813410256,13.152343040926597
7,35,13.11445492022438,13.174536516312543,13.123127359904265
8,40,13.12209334527771,13.049480980244523,13.091906410699025
9,45,13.072133467271021,13.026370701232725,13.059855755659086
10,50,13.01211321378008,12.985787937099943,13.027604996398004
11,55,12.943164671571488,13.016603507226748,12.996388981282754
12,60,12.88857585118851,13.031501796753682,12.967140060958183
13,65,12.873142068836925,12.755810070840523,12.940676382380992
14,70,12.950858490490749,12.939569032003714,12.917959709152562
15,75,12.903096231229863,12.919597697720707,12.899453722765973
16,80,12.906200030652196,12.904321909966008,12.885684346026219
17,85,12.932748666870403,12.895411927554656,12.877331092795343
18,90,12.79193520070278,12.931918764120454,12.874510972527135
19,95,12.80300212756533,12.95832154609906,12.877331092795343
20,100,12.958983374295098,12.922368247303105,12.885684346026219
21,105,12.919794829088293,12.802061841994714,12.899453722765973
22,110,12.818548662637117,12.934385800200477,12.917959709152562
23,115,12.964039035354523,12.969105637433518,12.940676382380992
24,120,12.989407852970832,12.92815209589493,12.967140060958183
25,125,12.947758688456123,12.868480379567382,12.996388981282754
26,130,13.024660366146641,13.018449845686234,13.027604996398004
27,135,13.12087069071312,13.0549551253222,13.059855755659086
28,140,13.173315370667954,13.145889404266578,13.091906410699025
29,145,13.141328221639707,13.183589081597212,13.123127359904265
30,150,13.130647539647935,13.159840234843985,13.152343040926597
31,155,13.194512340204952,13.252062933956374,13.178812163994515
32,160,13.179959010065412,13.13733364994945,13.201768523117416
33,165,13.277087151743768,13.25914042474832,13.220134597154376
34,170,13.281696181064975,13.14544472315799,13.23377094571508
35,175,13.11790550114731,13.19166846832717,13.242141676942822
