,x,sigma0+,sigma0-,sigma0_theory
0,54797.228976146784,8.707010994832673,8.644352886237368,8.676706404856565
1,69491.10653944954,8.64388698129745,8.621043141905439,8.651369410514873
2,84184.98408807338,8.765600442489417,8.673090881380606,8.628891684960957
3,98878.86163669724,8.776614184267835,8.472296175397707,8.607779586495688
4,113572.73918532107,8.59280091656743,8.501083223917432,8.587592369569387
5,128266.61673394496,8.563950682503656,8.722404926104351,8.567586100442043
6,142960.49428256878,8.680766654326405,8.533654830709105,8.54800815968629
7,157654.37184587153,8.594642718083993,8.558764631724857,8.528996024941073
8,172348.2493944954,8.54621544517056,8.579639911131698,8.509897645179212
9,187042.12694311928,8.410087036168523,8.492052232543445,8.49102787803609
10,201736.00449174314,8.526788058279735,8.470029347556018,8.47267114994106
11,216429.88204036694,8.5911056641475,8.629193052433502,8.454294919671334
12,231123.7595889908,8.56646480958387,8.480994862287448,8.436293526475886
13,245817.63715229355,8.600721374216747,8.407677630098803,8.418841420442394
14,260511.5147009174,8.571593728710095,8.379661295927491,8.40149019692862
15,275205.39224954124,8.314778448611161,8.456430076486601,8.38436276202033
16,289899.2697981651,8.370944972526038,8.462308562012005,8.367788674490978
17,296073.3944954128,8.215695390368985,8.433517385211251,8.361125312699384
18,296073.3944954128,8.357904451273873,8.214377717687233,8.361125312699384
19,306073.3944954128,8.34384885468323,8.344037835213394,8.361125312699384
20,316073.3944954128,8.30475619763687,8.41626293975948,8.361125312699384
21,326073.3944954128,8.345487029896688,8.43598899196535,8.361125312699384
22,336073.3944954128,8.4845263685606,8.398045841687782,8.361125312699384
23,346073.3944954128,8.161311593244717,8.318159427738424,8.361125312699384
24,356073.3944954128,8.398736338341477,8.23584962424193,8.361125312699384
25,366073.3944954128,8.525563206986886,8.531907603047234,8.361125312699384
26,376073.3944954128,8.388934891609814,8.532711176128378,8.361125312699384
27,386073.3944954128,8.182955425349443,8.427728112454268,8.361125312699384
28,396073.3944954128,8.004015197176308,8.315400705828376,8.361125312699384
29,406073.3944954128,8.451805949459189,8.411286164013395,8.361125312699384
30,416073.3944954128,8.14515958148359,8.40815658614871,8.361125312699384
31,426073.3944954128,8.389637627211117,8.331997680106099,8.361125312699384
32,436073.3944954128,8.450657526766067,8.37283542374168,8.361125312699384
33,446073.3944954128,8.450111940921134,8.158050842722732,8.361125312699384
34,456073.3944954128,8.115352776418037,8.382051186875948,8.361125312699384
35,466073.3944954128,8.373512205455242,8.514428059430863,8.361125312699384
36,476073.3944954128,8.093091570714744,8.369467979282234,8.361125312699384
37,486073.3944954128,8.351370481931816,8.168225302181131,8.361125312699384
