,direction,sigma0+,sigma0-,sigma0_theory
0,0,13.737670562447802,13.690268050672184,13.740851064480562
1,5,13.668930122480813,13.584891691902051,13.740387808369254
2,10,13.63205346006437,13.721483664778821,13.739040737876307
3,15,13.737423013383603,13.726385051748636,13.737072007041515
4,20,13.744044666032911,13.725503371138165,13.734079120073561
5,25,13.753969759585276,13.642148380598249,13.730296159799774
6,30,13.735241652354038,13.68536636501771,13.726070155136128
7,35,13.714857700485329,13.639610509950181,13.721432088235204
8,40,13.753394623362654,13.63676240712628,13.716448419506602
9,45,13.748960657668448,13.793331705753493,13.71143002750638
10,50,13.745946627520686,13.699935185601081,13.706191102995938
11,55,13.607156745670244,13.718921931448572,13.70121487096711
12,60,13.622082298598032,13.656727291234354,13.696526705666088
13,65,13.695358069683873,13.640672706676593,13.692308906936418
14,70,13.67574545818911,13.623177207161799,13.688806137122896
15,75,13.746979155814223,13.676281131990509,13.685887085698074
16,80,13.712419960181473,13.585983322896858,13.683514207629006
17,85,13.721995931260473,13.703664581736161,13.682193479850701
18,90,13.69584268976585,13.614128970843005,13.681754445190018
19,95,13.706100274880082,13.718837934564657,13.682193479850701
20,100,13.623566465990917,13.683996175684738,13.683514207629006
21,105,13.66135393316343,13.788728879441887,13.685887085698074
22,110,13.745165987540602,13.729912148836789,13.688806137122896
23,115,13.764969696486686,13.740572870357589,13.692308906936418
24,120,13.693604166690324,13.699205549336522,13.696526705666088
25,125,13.69804753542379,13.798429092477715,13.70121487096711
26,130,13.70305240772107,13.644483046363924,13.706191102995938
27,135,13.697030502087287,13.746361469968804,13.71143002750638
28,140,13.70972996480675,13.653912298457394,13.716448419506602
29,145,13.724115952186999,13.692537689661586,13.721432088235204
30,150,13.672268329801124,13.738598981506113,13.726070155136128
31,155,13.659589351427195,13.663934356450358,13.730296159799774
32,160,13.775639871281662,13.662867433947437,13.734079120073561
33,165,13.779861874263544,13.609519990548213,13.736814262300253
34,170,13.704514097338372,13.699790467664982,13.739040737876307
35,175,13.762919100005771,13.748713358254703,13.740387808369254
