,direction,sigma0+,sigma0-,sigma0_theory
0,0,13.779889129616208,13.789799989857784,13.811435273964
1,5,13.696252537295111,13.858938512381735,13.811309845079975
2,10,13.825921116091465,13.923346024043237,13.810962711019442
3,15,13.82616194270046,13.832681051326679,13.810628169052166
4,20,13.852829891359308,13.907411465549513,13.809850807332644
5,25,13.862235626833993,13.851680836320524,13.808797503397116
6,30,13.744243668837262,13.82311222123758,13.807738181365623
7,35,13.859473153137888,13.793410878339024,13.80659915189117
8,40,13.797303955057512,13.801179512777859,13.805350802054924
9,45,13.8723489338504,13.792949869268536,13.80418090810789
10,50,13.767959006588985,13.806852890361474,13.802787573339534
11,55,13.834663004458738,13.725662641079328,13.801547016491725
12,60,13.814588981594193,13.921182282370545,13.800355488440573
13,65,13.807820241444691,13.83018030068598,13.799304765481024
14,70,13.86046030644053,13.687838484314142,13.798537418513074
15,75,13.784458040553375,13.831540674854777,13.797837429871397
16,80,13.794730860175886,13.796948564271966,13.797087035383628
17,85,13.91745477485745,13.765743871122071,13.79676750607966
18,90,13.742936210819963,13.784970894022834,13.796667459069088
19,95,13.782782342709805,13.842957888219836,13.79676750607966
20,100,13.860269827048876,13.801352257340193,13.797087035383628
21,105,13.741417638577326,13.853671477388577,13.797837429871397
22,110,13.793749332855274,13.784700679789081,13.798537418513074
23,115,13.822162996782637,13.707780758411076,13.799304765481024
24,120,13.814685625045088,13.773210399621668,13.800355488440573
25,125,13.847379409790438,13.839096705276898,13.801547016491725
26,130,13.768109687999182,13.756575732014237,13.802787573339534
27,135,13.75445473377765,13.7021667251532,13.80418090810789
28,140,13.760061608272945,13.808527680145753,13.805350802054924
29,145,13.798403292953495,13.785133717306417,13.80659915189117
30,150,13.89602636481323,13.912204989485367,13.807738181365623
31,155,13.797078651745487,13.902703580149849,13.808797503397116
32,160,13.704985664239224,13.799296570444008,13.809850807332644
33,165,13.805474588550037,13.78180905129926,13.8103606230836
34,170,13.902726723179793,13.790831796550798,13.810962711019442
35,175,13.848799402404783,13.885579524222853,13.811309845079975
