,x,sigma0+,sigma0-,sigma0_theory
0,54797.228976146784,10.907720579651041,10.999542380229109,11.026164835293063
1,69491.10653944954,11.106469722476538,11.053382047859667,11.062826076932282
2,84184.98408807338,11.156848970815332,11.090629725395633,11.101349610517651
3,98878.86163669724,11.207790602618957,11.224092694159307,11.13824428996509
4,113572.73918532107,11.179019649595947,11.184246560704949,11.172775526895258
5,128266.61673394496,11.23564486550186,11.291467061754377,11.20468396037011
6,142960.49428256878,11.221479020500347,11.164418969933523,11.234390456545412
7,157654.37184587153,11.30452708653883,11.264359556977528,11.262129704043089
8,172348.2493944954,11.167993518171752,11.218719100170881,11.287732452766164
9,187042.12694311928,11.27292525853032,11.327067901589752,11.311590830352014
10,201736.00449174314,11.282120748581598,11.349858051566187,11.33410398232057
11,216429.88204036694,11.35310711690419,11.384649877503662,11.354890899416086
12,231123.7595889908,11.342211230575831,11.368949042518643,11.37453330986312
13,245817.63715229355,11.351951209181323,11.270596938993322,11.393058307216572
14,260511.5147009174,11.316032044203208,11.404554536420958,11.41043745927984
15,275205.39224954124,11.37828914879468,11.279844836255833,11.426684659027584
16,289899.2697981651,11.486262406368294,11.567939989133347,11.442021095923156
17,296073.3944954128,11.308133739260368,11.388101200703407,11.448178981186459
18,296073.3944954128,11.391724011066561,11.398545580065285,11.448178981186459
19,306073.3944954128,11.450087733346134,11.491213051232378,11.448178981186459
20,316073.3944954128,11.411643691453005,11.31809457664553,11.448178981186459
21,326073.3944954128,11.479855370486689,11.453942898290936,11.448178981186459
22,336073.3944954128,11.461056249712327,11.409853331850561,11.448178981186459
23,346073.3944954128,11.422255491593365,11.480776576535323,11.448178981186459
24,356073.3944954128,11.500857859236302,11.34214569857331,11.448178981186459
25,366073.3944954128,11.38590984368697,11.413190779513013,11.448178981186459
26,376073.3944954128,11.44967761604616,11.31875007421484,11.448178981186459
27,386073.3944954128,11.512165375543724,11.518000187654238,11.448178981186459
28,396073.3944954128,11.340957070729782,11.480678050878442,11.448178981186459
29,406073.3944954128,11.302298174215043,11.41553241171362,11.448178981186459
30,416073.3944954128,11.506850237108237,11.416133214128283,11.448178981186459
31,426073.3944954128,11.5073760814039,11.425408269655524,11.448178981186459
32,436073.3944954128,11.506713013950092,11.436999544613005,11.448178981186459
33,446073.3944954128,11.417379933920557,11.558635081545319,11.448178981186459
34,456073.3944954128,11.464886588182654,11.410413943500597,11.448178981186459
35,466073.3944954128,11.348192985619594,11.400960746109233,11.448178981186459
36,476073.3944954128,11.455738008212577,11.637324101759273,11.448178981186459
37,486073.3944954128,11.382349650088377,11.496170872928877,11.448178981186459
