,direction,sigma0+,sigma0-,sigma0_theory
0,0,12.317627291694555,12.279193829668296,12.3157186389152
1,5,12.285907482512373,12.50966306890441,12.308437439601612
2,10,12.18157233065029,12.35943513388699,12.286909906281752
3,15,12.256415218881052,12.15673483687955,12.251960391245245
4,20,12.210915803406534,12.203485213020695,12.204254337051296
5,25,12.244332476197409,12.123087281345619,12.145382146623852
6,30,12.115067534530503,12.13131297706868,12.077246958265096
7,35,12.07678672578097,11.943828049343193,12.001992207717372
8,40,11.947720887702353,11.999723287997732,11.921623282876483
9,45,11.845371458046161,11.73675410924103,11.838935481717874
10,50,11.794267235041907,11.856231873342464,11.756085842844222
11,55,11.651532756286231,11.590779418947545,11.67571716417589
12,60,11.647068256730368,11.642878990895497,11.600460754981992
13,65,11.511672875932774,11.58742427379045,11.5323258383467
14,70,11.350723701927063,11.641940264273936,11.473617460195104
15,75,11.2744617964065,11.373323966105112,11.425913847918226
16,80,11.25995252630199,11.442209824906337,11.390796418757517
17,85,11.372008466348014,11.288376436048527,11.369269757943197
18,90,11.254312445572644,11.35440115440792,11.361989360721775
19,95,11.474294045155947,11.435071965386358,11.369269757943197
20,100,11.4500590918617,11.35590157480787,11.390796418757517
21,105,11.390714037282672,11.482381945889436,11.425913847918226
22,110,11.409943112920713,11.357259649547553,11.473617460195104
23,115,11.31460913189606,11.619329310350926,11.5323258383467
24,120,11.638469929345309,11.542335081018342,11.600460754981992
25,125,11.737818234204084,11.54814407617442,11.67571716417589
26,130,11.728422386732637,11.609481488044043,11.756085842844222
27,135,11.967454382233889,12.052384058226913,11.838935481717874
28,140,11.843848553596368,11.760735048140615,11.921623282876483
29,145,12.176048015445645,12.196346927409714,12.001992207717372
30,150,12.0911433028547,12.088486687965743,12.077246958265096
31,155,12.165566520762983,12.177184601585495,12.145382146623852
32,160,12.023158838841963,12.071052361809988,12.204254337051296
33,165,12.131694677321047,12.154901519064259,12.251900452381308
34,170,12.279800578703846,12.33990763647225,12.286909906281752
35,175,12.24160495409776,12.225146055671981,12.308437439601612
