,x,sigma0+,sigma0-,sigma0_theory
0,54797.228976146784,12.909361442781348,12.909361442781348,12.841783068583894
1,69491.10653944954,12.861717469733232,12.861717469733232,12.926452236371947
2,84184.98408807338,13.006178861501061,13.006178861501061,13.012211693647895
3,98878.86163669724,13.031564874804374,13.031564874804374,13.094023539948637
4,113572.73918532107,13.23531542938503,13.23531542938503,13.17092565163286
5,128266.61673394496,13.237557914708287,13.237557914708287,13.243033893523755
6,142960.49428256878,13.326091222291145,13.326091222291145,13.310903469197017
7,157654.37184587153,13.318981051815912,13.318981051815912,13.374844341959706
8,172348.2493944954,13.467978932675846,13.467978932675846,13.435061115438824
9,187042.12694311928,13.486861639386081,13.486861639386081,13.49200575078944
10,201736.00449174314,13.500577379328448,13.500577379328448,13.54616622550454
11,216429.88204036694,13.600202233153311,13.600202233153311,13.597278868110138
12,231123.7595889908,13.588716844445514,13.588716844445514,13.646070510251214
13,245817.63715229355,13.691875110507407,13.691875110507407,13.692454140920965
14,260511.5147009174,13.715413828823252,13.715413828823252,13.736726530823084
15,275205.39224954124,13.78665053875457,13.78665053875457,13.77881715934684
16,289899.2697981651,13.888386725481931,13.888386725481931,13.818863300893266
17,296073.3944954128,13.84911626058869,13.84911626058869,13.834949234463249
18,296073.3944954128,13.768705270096739,13.768705270096739,13.834949234463249
19,306073.3944954128,13.844821216443124,13.844821216443124,13.834949234463249
20,316073.3944954128,13.862101691696399,13.862101691696399,13.834949234463249
21,326073.3944954128,13.87484099643023,13.87484099643023,13.834949234463249
22,336073.3944954128,13.757855372582274,13.757855372582274,13.834949234463249
23,346073.3944954128,13.78357099526596,13.78357099526596,13.834949234463249
24,356073.3944954128,13.900350736340172,13.900350736340172,13.834949234463249
25,366073.3944954128,13.804494377724556,13.804494377724556,13.834949234463249
26,376073.3944954128,13.883579273298333,13.883579273298333,13.834949234463249
27,386073.3944954128,13.817507401261055,13.817507401261055,13.834949234463249
28,396073.3944954128,13.777109053834169,13.777109053834169,13.834949234463249
29,406073.3944954128,13.820962285418508,13.820962285418508,13.834949234463249
30,416073.3944954128,13.82774953271539,13.82774953271539,13.834949234463249
31,426073.3944954128,13.873124192430769,13.873124192430769,13.834949234463249
32,436073.3944954128,13.856220185602544,13.856220185602544,13.834949234463249
33,446073.3944954128,13.779282284728955,13.779282284728955,13.834949234463249
34,456073.3944954128,13.787744863754511,13.787744863754511,13.834949234463249
35,466073.3944954128,13.837031174172319,13.837031174172319,13.834949234463249
36,476073.3944954128,13.817568081547602,13.817568081547602,13.834949234463249
37,486073.3944954128,13.801067018291144,13.801067018291144,13.834949234463249
