,direction,sigma0+,sigma0-,sigma0_theory
0,0,11.342239049991703,11.454847186838187,11.448178981186459
1,5,11.558066545396635,11.268373576296899,11.43675013463318
2,10,11.414809438324943,11.377864675594356,11.402945960329909
3,15,11.147699978032113,11.28522628198386,11.347932819871696
4,20,11.209654216615766,11.317517523412002,11.273025828515257
5,25,10.964857795417908,11.294854964695354,11.18064049686555
6,30,11.083087091965407,11.152726676198439,11.073626611298646
7,35,11.115908486596073,11.101581224255652,10.955412703668818
8,40,10.84230552316849,10.9742835129518,10.829183694613269
9,45,10.831464549069352,10.839915079023754,10.699246260985396
10,50,10.662506949512554,10.415755094696484,10.569182696203537
11,55,10.560133193214634,10.312249437342722,10.442949559014462
12,60,10.38438276469817,10.45071286218419,10.324763460718131
13,65,10.350684592801604,10.009036665319366,10.217745020154172
14,70,9.971040762547705,10.319230794194025,10.12545270293982
15,75,9.976064306393443,10.139069182019437,10.050504721695981
16,80,9.922420029867325,10.078486767730194,9.995467377845362
17,85,10.136067651215617,10.12372650373382,9.961648581427132
18,90,9.781799444354839,10.075062797108831,9.950206289965923
19,95,10.116004044399228,9.866172616184128,9.961648581427132
20,100,10.11478749949686,9.832962409223233,9.995467377845362
21,105,10.060346222088574,9.955746178405429,10.050504721695981
22,110,10.088582957430459,10.116213620556886,10.12545270293982
23,115,9.936352805035602,10.330352228153863,10.217745020154172
24,120,10.231018836795872,10.500772818447626,10.324763460718131
25,125,10.53868923489466,10.546242845674099,10.442949559014462
26,130,10.559502873807556,10.500974949333063,10.569182696203537
27,135,10.796286788977262,10.817523992346946,10.699246260985396
28,140,10.778409959940573,10.775497023333076,10.829183694613269
29,145,10.879399973461172,10.975919698853716,10.955412703668818
30,150,11.199836810783237,11.053534025377715,11.073626611298646
31,155,11.27818798334669,11.321318438601084,11.18064049686555
32,160,11.412454592358849,11.316765877660265,11.273025828515257
33,165,11.199157417493291,11.410139680235504,11.347993214805905
34,170,11.352522046697802,11.3198005137073,11.402945960329909
35,175,11.34867196583471,11.416045488747105,11.43675013463318
