,x,sigma0+,sigma0-,sigma0_theory
0,54797.228976146784,9.571014392040476,9.982274127077451,9.74049965964655
1,69491.10653944954,9.66601668962287,9.7495155333782,9.743217289040203
2,84184.98408807338,9.721116141231409,9.813174103036998,9.748343048415467
3,98878.86163669724,9.664803584363895,9.771804144143143,9.753479411744204
4,113572.73918532107,9.706499632630534,9.800751190504734,9.758052667596447
5,128266.61673394496,9.850862251761276,9.715843128816239,9.761538154723029
6,142960.49428256878,9.75701065190771,9.713415798358245,9.764261757103677
7,157654.37184587153,9.565853420783743,9.820773617115067,9.766404941008743
8,172348.2493944954,9.691808619843856,9.939318765111501,9.76753412611786
9,187042.12694311928,9.661948067431453,9.89015598053175,9.76799913526821
10,201736.00449174314,9.618624320086042,9.857826332458844,9.768136306058395
11,216429.88204036694,9.60518125719926,9.792616851448285,9.76748166651202
12,231123.7595889908,9.7833179966139,9.852376900230196,9.766514350664874
13,245817.63715229355,9.656803503746307,9.612938319854479,9.76534212877065
14,260511.5147009174,9.824961981949937,9.883086680363078,9.763706636577057
15,275205.39224954124,9.73969625798316,9.78214775462169,9.76168145099515
16,289899.2697981651,9.774301853081985,9.798654957797554,9.759547092948011
17,296073.3944954128,9.77565779847745,9.613771706707682,9.758685432708923
18,296073.3944954128,9.774429915143187,9.847321480175863,9.758685432708923
19,306073.3944954128,9.712056447627837,9.694320257036441,9.758685432708923
20,316073.3944954128,9.764904779230235,9.713685198897354,9.758685432708923
21,326073.3944954128,9.668386311528415,9.712238650469834,9.758685432708923
22,336073.3944954128,9.910492263410703,9.908067390937433,9.758685432708923
23,346073.3944954128,9.769159149993452,9.829523939881987,9.758685432708923
24,356073.3944954128,9.820602575109232,9.722954077321301,9.758685432708923
25,366073.3944954128,9.85221535145609,9.706998236095991,9.758685432708923
26,376073.3944954128,9.680328723510232,9.672023063471928,9.758685432708923
27,386073.3944954128,9.917110046627629,9.679216740612791,9.758685432708923
28,396073.3944954128,9.753935942420712,9.784940494625724,9.758685432708923
29,406073.3944954128,9.739164807710177,9.768020207962433,9.758685432708923
30,416073.3944954128,9.712974453598948,9.728417778471133,9.758685432708923
31,426073.3944954128,9.869398037192896,9.7355134207736,9.758685432708923
32,436073.3944954128,9.918860234458052,9.904766101792827,9.758685432708923
33,446073.3944954128,9.739157529234577,9.74014099306305,9.758685432708923
34,456073.3944954128,9.769952043138737,9.665634081956163,9.758685432708923
35,466073.3944954128,9.73546382406034,9.714783411219889,9.758685432708923
36,476073.3944954128,9.819103333175502,9.784449502037925,9.758685432708923
37,486073.3944954128,9.690989889971505,9.66740858961338,9.758685432708923
