,x,sigma0+,sigma0-,sigma0_theory
0,54797.228976146784,10.675257791563293,10.649048269851662,10.637765138954956
1,69491.10653944954,10.688595302714937,10.740221597596841,10.664167588226263
2,84184.98408807338,10.847160280519388,10.458003319529777,10.69259729830537
3,98878.86163669724,10.777530446224052,10.694277247789266,10.719893648362898
4,113572.73918532107,10.637423952307369,10.72103744186676,10.74537067192836
5,128266.61673394496,10.638360964079494,10.737189847901213,10.768688826237822
6,142960.49428256878,10.859938485638427,10.84277722586756,10.790240270943583
7,157654.37184587153,10.830800907783706,10.748217735264358,10.810243609253614
8,172348.2493944954,10.879517068376286,10.77560219019471,10.828449702435075
9,187042.12694311928,10.837042655171999,10.849457453248025,10.845237892327596
10,201736.00449174314,10.879232581598067,10.895348654636692,10.860988341986317
11,216429.88204036694,10.799624052744408,10.867717766575453,10.875294968297148
12,231123.7595889908,10.77505731740332,10.854933792394462,10.888708492399324
13,245817.63715229355,10.879370197133689,10.96601860766657,10.901280390800746
14,260511.5147009174,10.831426574302812,10.79286614286019,10.912912738841815
15,275205.39224954124,10.882091989681225,10.805445821161952,10.923637467798672
16,289899.2697981651,10.855031236294616,11.07858052559903,10.933693698906984
17,296073.3944954128,10.987820650076788,10.913305287242242,10.937730063947125
18,296073.3944954128,10.955236441146434,10.829047934680851,10.937730063947125
19,306073.3944954128,11.059955241201925,11.044615624224843,10.937730063947125
20,316073.3944954128,10.947959316574721,10.956782091963355,10.937730063947125
21,326073.3944954128,10.948957305961946,10.89020913427883,10.937730063947125
22,336073.3944954128,10.93974124178461,10.876949357814246,10.937730063947125
23,346073.3944954128,10.957195636099046,11.003168856433355,10.937730063947125
24,356073.3944954128,10.865172510933029,10.859567575166874,10.937730063947125
25,366073.3944954128,10.96269369031591,10.984360318011891,10.937730063947125
26,376073.3944954128,11.032294222338573,11.075816629655858,10.937730063947125
27,386073.3944954128,10.900538920693393,11.035200938756638,10.937730063947125
28,396073.3944954128,10.984325623068887,10.958311405890269,10.937730063947125
29,406073.3944954128,10.890447037716575,10.977063790660493,10.937730063947125
30,416073.3944954128,10.86151915386036,10.874590384399667,10.937730063947125
31,426073.3944954128,10.953254372183485,10.854171318782921,10.937730063947125
32,436073.3944954128,10.99112823699697,10.965809893688201,10.937730063947125
33,446073.3944954128,10.959771098813263,10.901033429530946,10.937730063947125
34,456073.3944954128,10.925943138006772,10.98502587749545,10.937730063947125
35,466073.3944954128,10.816303711515262,10.971436903465928,10.937730063947125
36,476073.3944954128,10.925028338475089,10.820037384657597,10.937730063947125
37,486073.3944954128,10.98600203701796,10.903506538824061,10.937730063947125
