,direction,sigma0+,sigma0-,sigma0_theory
0,0,8.687419941599742,8.126808129673881,8.361125312699384
1,5,8.502707844337538,7.990744256762304,8.33495370213083
2,10,8.14541341352436,7.846326955538898,8.25751234981814
3,15,8.136567389524084,8.205328841247624,8.131183285466374
4,20,7.765933766413806,7.563210699592453,7.959590878401638
5,25,7.637416999331988,7.698254429085751,7.748083474912653
6,30,7.8828734530413636,7.722038283963278,7.502875710976346
7,35,7.4477087760362695,7.18455916416631,7.2319639776742015
8,40,7.252237059002056,6.55013811213376,6.9427258310942666
9,45,6.773253689540796,6.259774024588758,6.6448401267849295
10,50,7.258561859224479,5.803919381047945,6.346955209878805
11,55,5.522176107114218,6.304481046958925,6.057697386745127
12,60,5.167895048775801,5.275843774353273,5.786918206368478
13,65,5.629187549364342,5.844514668452012,5.5416887309130125
14,70,5.653095247037879,5.148976797557875,5.330022691756351
15,75,5.254482346262566,4.917742574352256,5.158234916958866
16,80,4.99600437603632,5.317685014071335,5.032392467344319
17,85,4.663406890031135,4.93261572352631,4.954881417467796
18,90,4.799678702916477,4.981732657962803,4.928645721194686
19,95,5.374873268478831,5.04437997367854,4.954881417467796
20,100,5.232345325765393,4.442802755065003,5.032392467344319
21,105,4.797697361227393,5.3698925960699695,5.158234916958866
22,110,5.142416997786281,6.375949291973364,5.330022691756351
23,115,5.013768021206381,5.174549721323296,5.5416887309130125
24,120,6.067763858824378,5.64569436105308,5.786918206368478
25,125,6.3873320347239435,6.067841131959204,6.057697386745127
26,130,6.551663079772054,6.419227381961642,6.346955209878805
27,135,6.79911403585429,6.675650451919425,6.6448401267849295
28,140,6.981890924727896,7.191923793874533,6.9427258310942666
29,145,7.217740695323808,7.2347056754727355,7.2319639776742015
30,150,8.00540553029969,7.66112422078476,7.502875710976346
31,155,7.873780177634058,7.378489916122297,7.748083474912653
32,160,8.204385307697269,7.941103771631233,7.959590878401638
33,165,8.463495975148627,7.887164446022064,8.131671405490648
34,170,8.59659841723057,8.4085405644194,8.25751234981814
35,175,8.284783270951724,8.238167272611276,8.33495370213083
