,direction,sigma0+,sigma0-,sigma0_theory
0,0,13.55149403125274,13.417503650239947,13.457877947222535
1,5,13.47864755705183,13.518449309748355,13.456060477074484
2,10,13.545153814782807,13.494001842970302,13.4507050619507
3,15,13.507299717135396,13.40986631858124,13.442185522523982
4,20,13.42190988277471,13.422860306102994,13.430311482268557
5,25,13.393009990129565,13.537486645935914,13.415586423104518
6,30,13.43700778557431,13.407649671208636,13.39866645619023
7,35,13.370421474362654,13.377370732882333,13.380002149793675
8,40,13.333538385747271,13.343459566097229,13.360045083815793
9,45,13.271905153473394,13.274337560776088,13.339599604644663
10,50,13.247683754491526,13.321258131392204,13.318945251217592
11,55,13.250853816050117,13.24973935143511,13.29899419372094
12,60,13.319131435295366,13.35488763234017,13.280289410270896
13,65,13.323284942747476,13.288483202811516,13.263376073357945
14,70,13.207142169275969,13.284836730368447,13.248908089036124
15,75,13.24477012511284,13.349181903305606,13.237093703764142
16,80,13.106807635327769,13.221106348559037,13.228216938906998
17,85,13.277971756543748,13.303029501351729,13.22288280747732
18,90,13.114034916129945,13.213607952573646,13.221084907109585
19,95,13.11520480619253,13.23789624924795,13.22288280747732
20,100,13.177770762438975,13.22045804753467,13.228216938906998
21,105,13.134103376961754,13.363471155991721,13.237093703764142
22,110,13.112118704224976,13.346689348194845,13.248908089036124
23,115,13.262891569142068,13.292813838786984,13.263376073357945
24,120,13.273258153281564,13.103038690611026,13.280289410270896
25,125,13.294427066922868,13.213879265348115,13.29899419372094
26,130,13.373017205451244,13.380116579185923,13.318945251217592
27,135,13.337679728984,13.302080156450803,13.339599604644663
28,140,13.332986216003153,13.45172971604285,13.360045083815793
29,145,13.41519820667524,13.454816061595732,13.380002149793675
30,150,13.414103461855921,13.55018437956299,13.39866645619023
31,155,13.397895579931806,13.434438086643308,13.415586423104518
32,160,13.412553675345684,13.380302240412767,13.430311482268557
33,165,13.450198124098542,13.385490784710647,13.441967066977082
34,170,13.477873429240175,13.476688455642016,13.4507050619507
35,175,13.504719405885687,13.523420623073477,13.456060477074484
