,x,sigma0+,sigma0-,sigma0_theory
0,54797.228976146784,12.610368697224231,12.671438425394971,12.680637835371112
1,69491.10653944954,12.806284303806407,12.728851927562783,12.76104253346372
2,84184.98408807338,12.820043102788434,12.808868414369448,12.842606096826437
3,98878.86163669724,12.9011253483263,12.835428236229278,12.920428020791075
4,113572.73918532107,12.95252096116877,12.944004663755242,12.993566393321103
5,128266.61673394496,13.039028969198727,13.090359705818564,13.062103748516714
6,142960.49428256878,13.117767170176531,13.09162772771543,13.126583356968741
7,157654.37184587153,13.168437484765734,13.205174154206844,13.187308495450598
8,172348.2493944954,13.291202062033854,13.210905001783562,13.244450558742237
9,187042.12694311928,13.322754147533642,13.250741597827368,13.298456193080062
10,201736.00449174314,13.289990370391017,13.353037242000225,13.349805485150528
11,216429.88204036694,13.41235777967328,13.422913576707458,13.398224340546294
12,231123.7595889908,13.401314030142824,13.528895271250196,13.44442670160034
13,245817.63715229355,13.479939049757334,13.46269418246871,13.488335693037277
14,260511.5147009174,13.523612082133827,13.549044876448797,13.530219198291045
15,275205.39224954124,13.582987944339457,13.548752906943761,13.570014195078905
16,289899.2697981651,13.5814222865549,13.626597454211476,13.607865411846864
17,296073.3944954128,13.6056691560153,13.614356285093034,13.623069452268465
18,296073.3944954128,13.62709636634742,13.60171092944043,13.623069452268465
19,306073.3944954128,13.586524285737173,13.607906457579466,13.623069452268465
20,316073.3944954128,13.664017965030894,13.635205537841653,13.623069452268465
21,326073.3944954128,13.598648997715921,13.627576303703128,13.623069452268465
22,336073.3944954128,13.720950287985783,13.6287352135753,13.623069452268465
23,346073.3944954128,13.633361067323396,13.582675075659271,13.623069452268465
24,356073.3944954128,13.630202861073748,13.658958227522476,13.623069452268465
25,366073.3944954128,13.62764192020123,13.659032855282216,13.623069452268465
26,376073.3944954128,13.58203787672058,13.664704032129304,13.623069452268465
27,386073.3944954128,13.673166758285573,13.611551355697422,13.623069452268465
28,396073.3944954128,13.660831678420745,13.630068338711565,13.623069452268465
29,406073.3944954128,13.621297539633764,13.563924315422657,13.623069452268465
30,416073.3944954128,13.69055596499787,13.713047513785462,13.623069452268465
31,426073.3944954128,13.636480848746304,13.58221680527625,13.623069452268465
32,436073.3944954128,13.58101354877131,13.651632829194206,13.623069452268465
33,446073.3944954128,13.659352256462725,13.663475765883621,13.623069452268465
34,456073.3944954128,13.673550937728528,13.608616253307499,13.623069452268465
35,466073.3944954128,13.56591903842833,13.676081072877569,13.623069452268465
36,476073.3944954128,13.688756035645653,13.686834514865021,13.623069452268465
37,486073.3944954128,13.608700572154833,13.599085949600433,13.623069452268465
