,direction,sigma0+,sigma0-,sigma0_theory
0,0,10.379580304026327,10.347859714096153,10.374920107771338
1,5,10.339306922706697,10.264665499678854,10.358362886011355
2,10,10.507140439129232,10.37741696863639,10.309379209305272
3,15,10.041969846920079,10.433677495652802,10.22955831803725
4,20,9.839743863991488,9.969725978539017,10.121018617898766
5,25,9.896504206221781,10.041538332757785,9.987195827224511
6,30,9.986730781252547,9.730997994372492,9.8321102192307
7,35,9.567254730799299,9.756724038816571,9.660779288057398
8,40,9.43911904823728,9.64258615891238,9.4778463923711
9,45,9.294066493253375,9.334937112078258,9.289486959552374
10,50,8.927066776238622,8.854027307192178,9.10104554510151
11,55,8.801553866343127,8.632852161496055,8.91810311265325
12,60,8.791165096073284,8.902157699988598,8.7468364266161
13,65,8.884043406410417,8.270240353287454,8.591740295607126
14,70,8.491737362696588,8.254401761121757,8.457922981091968
15,75,8.615519735976454,8.313441470702054,8.349288589635758
16,80,8.344945441516163,7.961077833223729,8.26962118669097
17,85,8.293613291980108,8.103761207775493,8.220603729483738
18,90,8.03460344537584,7.785905512479427,8.204015447054928
19,95,8.240329675418817,8.06797525424767,8.220603729483738
20,100,8.453146779215812,7.893263183539931,8.26962118669097
21,105,8.333078198248371,8.268870082230503,8.349288589635758
22,110,8.329276943246981,8.499098302027129,8.457922981091968
23,115,8.648769202136828,8.43491673022406,8.591740295607126
24,120,8.910814493470129,8.849243020294297,8.7468364266161
25,125,9.040697339423454,8.911541373529161,8.91810311265325
26,130,9.172525999816136,8.867399939537005,9.10104554510151
27,135,9.288878055370011,9.121654706221392,9.289486959552374
28,140,9.478221093448541,9.677746010136852,9.4778463923711
29,145,9.825072957477557,9.588340452873927,9.660779288057398
30,150,9.591972851009752,9.886824892929278,9.8321102192307
31,155,10.184531338538028,9.990078070415167,9.987195827224511
32,160,10.134522217384923,10.174107529095375,10.121018617898766
33,165,10.315246174107752,10.080646926719863,10.229767500182927
34,170,10.385655434763537,10.237292613481161,10.309379209305272
35,175,10.482730528777743,10.413733518713054,10.358362886011355
