,direction,sigma0+,sigma0-,sigma0_theory
0,0,8.939783639316959,9.361230300044982,9.087851005605522
1,5,8.837442115219647,8.962308018898467,9.065147763473734
2,10,8.977109750423761,9.01731346721263,8.997972451553508
3,15,8.48434830808527,8.586017346792922,8.88842110264336
4,20,8.985910382200185,8.882028006053586,8.739574813185252
5,25,8.32742590576466,8.649801864189445,8.556091953374874
6,30,8.544399611854361,8.61178861336677,8.34339554791884
7,35,8.495002509082038,7.859950631073436,8.108407357744422
8,40,7.656566255985997,7.926765604071897,7.857518583569021
9,45,7.484966239029381,7.113928360038125,7.599144227364924
10,50,7.5169414530665435,7.54339169257122,7.34074079982674
11,55,6.94322104007599,6.986011133755467,7.089836007003937
12,60,7.031443804685819,7.202084114945858,6.854955727878628
13,65,6.528604070270011,6.702007123728418,6.642241647130267
14,70,6.211101938465343,6.237462257436942,6.458659354612633
15,75,6.241846338514253,6.361907801134233,6.309654016204714
16,80,6.02809881912612,6.578938315253154,6.200469107451502
17,85,6.367459780272593,7.025006272901946,6.133237054964402
18,90,5.827801876705067,6.083363294300995,6.110481640833008
19,95,5.290535796262452,6.553267551074946,6.133237054964402
20,100,5.899363105448979,6.377258432860434,6.200469107451502
21,105,5.9430561132489395,6.673038853973024,6.309654016204714
22,110,6.886977500723605,6.579676722805293,6.458659354612633
23,115,7.163941987222461,6.365393506479469,6.642241647130267
24,120,6.979569377661585,7.222109854091144,6.854955727878628
25,125,7.061759485298019,7.131972505185357,7.089836007003937
26,130,7.153618905266925,7.67936284786831,7.34074079982674
27,135,7.692271450995789,7.92109822962076,7.599144227364924
28,140,7.646503612153479,8.086500743313504,7.857518583569021
29,145,8.074303763157092,8.279022307129562,8.108407357744422
30,150,8.394238268864747,8.436540412187686,8.34339554791884
31,155,8.580430942901245,8.688855674428,8.556091953374874
32,160,8.77076484194828,8.617532475477942,8.739574813185252
33,165,8.952861887805208,8.876522160006706,8.888808596475661
34,170,9.152648909628976,9.10389717876088,8.997972451553508
35,175,8.989131908062149,9.169709704064609,9.065147763473734
